method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.915,0.205692451705187,0.52,0.0764567056734531,0.00187796852197933
binning2,1,0.89,0.412816579437554,0.52,0.120700069552161,0.00536493784610338
conditional,1,0.995,0.180826664451768,0.52,0.0354274566758121,0.031911623107596
isotonic,1,0.95,0.0957235335152688,0.52,0.0455384855436806,0.0411310461448173
marginal,1,1,0.240813557356716,0.52,0.0354274566758121,0.0318656162068531
binning,2,0.865,0.151285883527553,0.76,0.0498948091836184,0.0236184521001019
binning2,2,0.93,0.311019379638624,1,0.0976575358390607,0.0506679929636176
conditional,2,1,0.19695821033581,0.75,0.0102824706872356,0.00722891325924736
isotonic,2,0.9,0.0601099113560658,0.595,0.0275564265179491,0.0246682779427374
marginal,2,1,0.240813557356716,0.76,0.0102824706872356,0.0070974102560618
binning,3,0.885,0.155853696118368,0.275,0.0456301699832993,0.0224789665906676
binning2,3,0.845,0.270301875862527,0.365,0.0946160649752384,0.0555808235951995
conditional,3,1,0.20900035304226,0.275,0.00792859152892053,0.00605222612121051
isotonic,3,0.925,0.0791876395860944,0.275,0.0135492593826405,0.00962733022180242
marginal,3,1,0.240813557356716,0.275,0.00792859152892053,0.00579779028629152
binning,4,0.905,0.29118844506085,0.37,0.0356898104867735,0.0202486430462028
binning2,4,0.87,0.339954359644941,0.73,0.0729555603566885,0.0480368811338052
conditional,4,0.91,0.221438777762842,0.42,0.0114619060640911,0
isotonic,4,0.93,0.248942270070874,0.45,0.019314632394045,0.0116007807488653
marginal,4,0.92,0.240813557356716,0.45,0.0114619060640911,0.00662724216716982
binning,5,0.87,0.464452609926842,0.355,0.0178363967999664,0.026564670906289
binning2,5,0.825,0.457940793784924,0.355,0.035926526507172,0.0414450754778845
conditional,5,0.51,0.22799283164262,0.355,0.00852603377177133,0
isotonic,5,0.885,0.482307366347393,0.355,0.0123098432993248,0.0101410059122917
marginal,5,0.55,0.240813557356716,0.355,0.00852603377177133,0
binning,marginal,0.888,0.25369461726776,0.456,0.0490084316459917,0.00425937548517958
binning2,marginal,0.872,0.358406597673714,0.594,0.0890740477819228,0
conditional,marginal,0.883,0.20724336744706,0.464,0.0180430872972577,0.0153283533522618
isotonic,marginal,0.918,0.193254144175139,0.439,0.0266130795077918,0.0210443599276107
marginal,marginal,0.894,0.240813557356716,0.472,0.0180430872972577,0.0095565912322299
