method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.874,0.253667571099676,0.454,0.0869884855692,0.0247476759398415
cal_binning_5,1,0.864,0.404559491027391,0.454,0.132417746833372,0.0403575728104278
conditional,1,0.859,0.141131945743991,0.454,0.0390768274228743,0.0165207819040997
isotonic,1,0.906,0.182862001026138,0.454,0.0573846140004904,0.0380246559246632
marginal,1,0.966,0.214277059907121,0.454,0.0390768274228743,0.0164961454326252
mondrian_10,1,0.881,0.150283524642422,0.454,0.0390768274228743,0.0166358160233363
mondrian_5,1,0.869,0.146207454322148,0.454,0.0390768274228743,0.0163340572595099
oracle,1,0.902,0.0965502960917403,0.454,0.0390768274228743,0.0167655069677415
cal_binning_10,2,0.934,0.176187228144604,0.575,0.0404564359029041,0.0281000162401233
cal_binning_5,2,0.937,0.234020349286463,0.904,0.0672425756349754,0.048839419780054
conditional,2,0.933,0.165986293164619,0.617,0.0308255726844386,0.0182956089914292
isotonic,2,0.911,0.155864330843083,0.626,0.0309288533635692,0.0173353186870726
marginal,2,0.98,0.217876288321155,0.704,0.0308255726844386,0.018290895398587
mondrian_10,2,0.907,0.146261031393347,0.601,0.0308255726844386,0.0182308532049871
mondrian_5,2,0.903,0.144195015527656,0.601,0.0308255726844386,0.0183025956468105
oracle,2,0.892,0.105774944961502,0.512,0.0308255726844386,0.0183540140029651
cal_binning_10,3,0.908,0.187185797000111,0.3,0.0399447949423726,0.0262539626363347
cal_binning_5,3,0.947,0.256584939930078,0.366,0.0544469131414424,0.0359665730840316
conditional,3,0.959,0.195407805103963,0.3,0.0310025426539822,0.0167862482503635
isotonic,3,0.913,0.17134721860691,0.306,0.0344103374996111,0.0204463926638118
marginal,3,0.975,0.217876288321155,0.302,0.0310025426539822,0.0169030162550853
mondrian_10,3,0.893,0.158099371012445,0.302,0.0310025426539822,0.0164621324705403
mondrian_5,3,0.906,0.160508626868197,0.302,0.0310025426539822,0.0166943616193823
oracle,3,0.893,0.12463591328796,0.3,0.0310025426539822,0.0165427543400643
cal_binning_10,4,0.892,0.228192048961799,0.49,0.0399648746247055,0.0261872744740433
cal_binning_5,4,0.892,0.272807263339404,0.779,0.064658534186951,0.0486987114777076
conditional,4,0.926,0.247144412462067,0.556,0.0367447212181375,0.0311587591126728
isotonic,4,0.908,0.23704309806345,0.704,0.0326332938398021,0.0219351575189403
marginal,4,0.887,0.217876288321155,0.517,0.0367447212181375,0.0308893976921609
mondrian_10,4,0.906,0.239953123464808,0.587,0.0367447212181375,0.0307298860014311
mondrian_5,4,0.898,0.23865725128991,0.587,0.0367447212181375,0.0309044044380997
oracle,4,0.908,0.179958940276838,0.483,0.0367447212181375,0.0306509701407309
cal_binning_10,5,0.889,0.362818136174227,0.326,0.0545609806616132,0.036343510850681
cal_binning_5,5,0.874,0.38750702117861,0.325,0.0748001084002058,0.0399981908416169
conditional,5,0.869,0.32302601007177,0.325,0.0331759718561126,0.00919796460794591
isotonic,5,0.875,0.36194301581271,0.325,0.0492001766566803,0.0405382300904779
marginal,5,0.694,0.217876288321155,0.326,0.0331759718561126,0.0110475662890369
mondrian_10,5,0.906,0.374104774337104,0.325,0.0331759718561126,0.0091052424249406
mondrian_5,5,0.91,0.383897221199202,0.325,0.0331759718561126,0.0107184636601218
oracle,5,0.905,0.348627861522385,0.325,0.0331759718561126,0.00647020272581878
cal_binning_10,marginal,0.8994,0.241610156276083,0.429,0.055449794021443,0.0156636439330719
cal_binning_5,marginal,0.9028,0.311095812952389,0.5656,0.0834221460584321,0.0148132542296525
conditional,marginal,0.9092,0.214539293309282,0.4504,0.0343196493856476,0.0104599580081646
isotonic,marginal,0.9026,0.221811932870458,0.483,0.0422356448301455,0.0233280204136463
marginal,marginal,0.9004,0.217156442638348,0.4606,0.0343196493856476,0.0101865964800324
mondrian_10,marginal,0.8986,0.213740364970025,0.4538,0.0343196493856476,0.0100393308282575
mondrian_5,marginal,0.8972,0.214693113841423,0.4538,0.0343196493856476,0.0101230062899948
oracle,marginal,0.9,0.171109591228085,0.4148,0.0343196493856476,0.0100708608986638
