method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,5,0.885,0.172883746113565,0.46,0.0485789269931233,0.0151297446025237
cal_binning_5,5,0.889,0.273962749608343,0.592,0.0854977964123676,0.0266712329801819
conditional,5,0.902,0.111349747913492,0.395,0.0103530963967533,0.0111164452336708
isotonic,5,0.907,0.124172529055673,0.402,0.0269409849745582,0.0238276432192026
marginal,5,0.907,0.111908982254088,0.395,0.0103530963967533,0.0112356021901054
mondrian_10,5,0.899,0.112387002386959,0.383,0.0103530963967533,0.0110816018229365
mondrian_5,5,0.908,0.115131825658452,0.395,0.0103530963967533,0.0110484642627612
oracle,5,0.898,0.0986912176170884,0.385,0.0103530963967533,0.0115355895045343
cal_binning_10,marginal,0.885,0.172883746113565,0.46,0.0485789269931233,0.0152535082570204
cal_binning_5,marginal,0.889,0.273962749608343,0.592,0.0854977964123676,0.0263756487999951
conditional,marginal,0.902,0.111349747913492,0.395,0.0103530963967533,0.011143056997632
isotonic,marginal,0.907,0.124172529055673,0.402,0.0269409849745582,0.0240641703471969
marginal,marginal,0.907,0.111908982254088,0.395,0.0103530963967533,0.0112803801319174
mondrian_10,marginal,0.899,0.112387002386959,0.383,0.0103530963967533,0.0113734576146368
mondrian_5,marginal,0.908,0.115131825658452,0.395,0.0103530963967533,0.0110816667009277
oracle,marginal,0.898,0.0986912176170884,0.385,0.0103530963967533,0.010548155935194
