method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.895,0.541975602339484,0.81,0.197466719904071,0.162884614409796
binning2,1,0.815,0.814100858836319,0.81,0.314429290872539,0.2939660503932
conditional,1,0.73,0.572671810802483,0.61,0.373678962875217,0.369282412580818
isotonic,1,0.87,0.374879872685183,0.845,0.176262456352462,0.166545754443236
marginal,1,0.62,0.888689290616851,0.515,0.373678962875217,0.36937745461228
binning,2,0.985,0.541411793892742,0.355,0.110413404711024,0.0537209595996426
binning2,2,1,0.81684688479332,0.61,0.163504928825949,0.131292151019342
conditional,2,1,0.594543200336772,0.74,0.184114120317156,0.169803184250957
isotonic,2,0.99,0.532438839141939,0.355,0.125287706594839,0.0906168780454451
marginal,2,1,0.888689290616851,0.96,0.184114120317156,0.169808229453486
binning,3,0.895,0.314283320820367,0.355,0.155063519247213,0.148830275508983
binning2,3,0.945,0.735652057682159,0.38,0.272316691041705,0.261629484028679
conditional,3,1,0.546608911077229,0.775,0.0284243505112749,0.0241636543207375
isotonic,3,0.915,0.20347576291584,0.42,0.108906230047281,0.107319591553483
marginal,3,1,0.888689290616851,1,0.0284243505112749,0.0241335223516578
binning,4,0.94,0.363301193638654,0.75,0.0393653811150514,0.0249318441368605
binning2,4,0.915,0.373449758049807,0.75,0.0521922449217329,0.0322501220014547
conditional,4,0.96,0.466161230323722,0.75,0.0263557494700025,0
isotonic,4,0.93,0.327593450836086,0.75,0.0349377726995639,0.0225579704011568
marginal,4,1,0.888689290616851,0.75,0.0263557494700025,0.00308993542497455
binning,5,0.875,0.494291397416105,0.44,0.04111733005229,0.0187774090290586
binning2,5,0.87,0.488850347942324,0.44,0.0559605691956093,0.0306694617697255
conditional,5,0.835,0.454603452987111,0.44,0.0522142062859829,0.0284999625090506
isotonic,5,0.9,0.518810001734329,0.44,0.0326268261729932,0.0117621852840322
marginal,5,0.995,0.888689290616851,0.44,0.0522142062859829,0.0301728714677082
binning,marginal,0.918,0.45105266162147,0.542,0.12527504817149,0.00240026451667237
binning2,marginal,0.909,0.645779981460786,0.598,0.202786408155752,0.00187762168507614
conditional,marginal,0.905,0.526917721105464,0.663,0.188553901665198,0.161214801243451
isotonic,marginal,0.921,0.391439585462675,0.562,0.110373173945156,0.0239667969363817
marginal,marginal,0.923,0.888689290616851,0.733,0.188553901665198,0.161490885356451
