method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.81,0.462259986695931,0.754,0.172303643410188,0.126855836553892
cal_binning_5,1,0.777,0.517966746599238,0.695,0.198784650516281,0.155794864624485
conditional,1,0.761,0.474518306249022,0.558,0.232772323227928,0.218988975820502
isotonic,1,0.794,0.395845574317118,0.755,0.149929414372243,0.12071868968475
marginal,1,0.713,0.560538355412073,0.481,0.232772323227928,0.219116646719782
mondrian_10,1,0.77,0.428220239979089,0.711,0.232772323227928,0.219002716838419
mondrian_5,1,0.752,0.478616841829254,0.507,0.232772323227928,0.218964454673242
oracle,1,0.897,0.0781400414248461,0.788,0.232772323227928,0.219187120481575
cal_binning_10,2,0.931,0.409063220531011,0.619,0.11809550153544,0.11021483607975
cal_binning_5,2,0.93,0.496414988319066,0.771,0.154686168536586,0.147448893057031
conditional,2,0.962,0.454776090243388,0.741,0.156048396986753,0.151628975590105
isotonic,2,0.942,0.404957620612076,0.544,0.112349314444163,0.105003998404947
marginal,2,0.928,0.568072747482217,0.92,0.156048396986753,0.151782481352929
mondrian_10,2,0.88,0.409282800679915,0.687,0.156048396986753,0.151691025045085
mondrian_5,2,0.879,0.4638033945654,0.827,0.156048396986753,0.15168967093139
oracle,2,0.889,0.0956547672778351,0.373,0.156048396986753,0.151769251338703
cal_binning_10,3,0.964,0.428634193080436,0.811,0.116846015585801,0.108315927178221
cal_binning_5,3,0.947,0.47442361278505,0.811,0.119804491786933,0.111644886332904
conditional,3,0.992,0.472504523151752,0.942,0.116721726344451,0.11011597616724
isotonic,3,0.965,0.39936165381509,0.746,0.0988967025966689,0.08883162638992
marginal,3,0.985,0.568072747482217,1,0.116721726344451,0.11016370543227
mondrian_10,3,0.953,0.451823822994445,0.927,0.116721726344451,0.11010232515569
mondrian_5,3,0.954,0.504869426988901,1,0.116721726344451,0.110203700744432
oracle,3,0.894,0.135465959604666,0.467,0.116721726344451,0.110262674379743
cal_binning_10,4,0.915,0.446279755195964,0.838,0.1006859559265,0.0893240289405734
cal_binning_5,4,0.915,0.492341262644385,0.838,0.122317621212292,0.112857228266418
conditional,4,0.982,0.469360791324588,0.842,0.0544870491272595,0.0349630404461155
isotonic,4,0.915,0.420795576578032,0.831,0.0959575414599162,0.0856627339228191
marginal,4,0.997,0.568072747482217,0.842,0.0544870491272595,0.0353128343634706
mondrian_10,4,0.963,0.4816964466798,0.842,0.0544870491272595,0.035313516952386
mondrian_5,4,0.991,0.523638753129276,0.842,0.0544870491272595,0.0349896752968267
oracle,4,0.904,0.241077731923437,0.842,0.0544870491272595,0.0354436929243716
cal_binning_10,5,0.866,0.613745163279096,0.378,0.0779614569862745,0.064076044960756
cal_binning_5,5,0.877,0.652677846459989,0.378,0.0902755206251315,0.0663168716534602
conditional,5,0.788,0.476412220332901,0.378,0.0690845888394676,0.069804262035132
isotonic,5,0.881,0.622474189325237,0.378,0.0578122743544417,0.0424479662766864
marginal,5,0.858,0.568072747482217,0.378,0.0690845888394676,0.0698175365397792
mondrian_10,5,0.9,0.690945157603893,0.378,0.0690845888394676,0.0700205283362695
mondrian_5,5,0.903,0.670360357540735,0.378,0.0690845888394676,0.0695989991163938
oracle,5,0.908,0.580178469923951,0.378,0.0690845888394676,0.0693017592920284
cal_binning_10,marginal,0.8972,0.471996463756488,0.68,0.121246636959435,0.0123439849187007
cal_binning_5,marginal,0.8892,0.526764891361546,0.6986,0.142061630536121,0.00796874012163617
conditional,marginal,0.897,0.46951438626033,0.6922,0.141350300319176,0.107308680958408
isotonic,marginal,0.8994,0.448686922929511,0.6508,0.107174497305689,0.0162065931605383
marginal,marginal,0.8962,0.566565869068188,0.7242,0.141350300319176,0.107274200741644
mondrian_10,marginal,0.8932,0.492393693587428,0.709,0.141350300319176,0.107385507939255
mondrian_5,marginal,0.8958,0.528257754810713,0.7108,0.141350300319176,0.107340759282035
oracle,marginal,0.8984,0.226103394030947,0.5696,0.141350300319176,0.106946244870232
