method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.882,0.242009256750696,0.485,0.0804198599608879,0.0178053117015196
cal_binning_5,1,0.859,0.393008518258287,0.485,0.12997327879815,0.030038321031598
conditional,1,0.896,0.133973031062093,0.485,0.0232498176358328,0.0180507945552494
isotonic,1,0.886,0.15183048172184,0.485,0.0438072624026092,0.0363954393414488
marginal,1,0.868,0.120487914406651,0.485,0.0232498176358328,0.017940435420926
mondrian_10,1,0.929,0.147227203682848,0.485,0.0232498176358328,0.017932574913328
mondrian_5,1,0.92,0.146988756035136,0.485,0.0232498176358328,0.0179848362188037
oracle,1,0.896,0.114524745258597,0.485,0.0232498176358328,0.0179796073806755
cal_binning_10,2,0.893,0.145666789162528,0.637,0.0277403019537906,0.00755202132607492
cal_binning_5,2,0.923,0.215895015475211,0.947,0.0524330325203058,0.00986635458732374
conditional,2,0.905,0.125018720210075,0.544,0.00799012586632433,0.00510860195615943
isotonic,2,0.87,0.116143793297424,0.51,0.0154669872204241,0.0137300863539356
marginal,2,0.89,0.120487914406651,0.542,0.00799012586632433,0.0050760304345683
mondrian_10,2,0.843,0.106814527692796,0.542,0.00799012586632433,0.00513146320923675
mondrian_5,2,0.864,0.109519088062327,0.542,0.00799012586632433,0.00498280375897263
oracle,2,0.891,0.114822550832464,0.518,0.00799012586632433,0.00505072768983894
cal_binning_10,3,0.858,0.133063456186558,0.3,0.0258413117686799,0.0075131810400291
cal_binning_5,3,0.888,0.185975430469537,0.347,0.048482617118238,0.0226102680217273
conditional,3,0.887,0.121621602528974,0.3,0.00760020652270303,0.00546683238205061
isotonic,3,0.876,0.121489212320811,0.3,0.00929837379814753,0.00561329593726991
marginal,3,0.889,0.120487914406651,0.3,0.00760020652270303,0.00578986296166079
mondrian_10,3,0.889,0.121266222635593,0.3,0.00760020652270303,0.00463415416788596
mondrian_5,3,0.865,0.111155206862348,0.3,0.00760020652270303,0.00585931025657242
oracle,3,0.891,0.115534123741463,0.3,0.00760020652270303,0.00535156783967859
cal_binning_10,4,0.901,0.151695030193068,0.557,0.0304858159304932,0.0153035271679382
cal_binning_5,4,0.919,0.223903328352313,0.941,0.0549510669668104,0.00592084449357977
conditional,4,0.887,0.119456343819277,0.411,0.00991055837168924,0.00927287095524234
isotonic,4,0.897,0.12746855731064,0.385,0.0149344720451675,0.0145807629027953
marginal,4,0.894,0.120487914406651,0.422,0.00991055837168924,0.00933960809069445
mondrian_10,4,0.88,0.11569772633066,0.422,0.00991055837168924,0.00959835710735969
mondrian_5,4,0.883,0.11613075955688,0.422,0.00991055837168924,0.00923317525764286
oracle,4,0.898,0.117477365858843,0.43,0.00991055837168924,0.00954439503277212
cal_binning_10,5,0.879,0.159781488589984,0.294,0.0331374540378744,0.0172813255625112
cal_binning_5,5,0.848,0.224918685402822,0.294,0.0667268946979871,0.0367823694095356
conditional,5,0.881,0.119528378806791,0.294,0.00968374779424678,0.00968972682237958
isotonic,5,0.909,0.133213988104764,0.294,0.0220792262789953,0.0221450508159301
marginal,5,0.881,0.120487914406651,0.294,0.00968374779424678,0.00968426732554377
mondrian_10,5,0.884,0.120949606754346,0.294,0.00968374779424678,0.00955766381552699
mondrian_5,5,0.882,0.120101712238646,0.294,0.00968374779424678,0.00955916214676088
oracle,5,0.908,0.122969838011233,0.294,0.00968374779424678,0.00971906746294921
cal_binning_10,marginal,0.8826,0.166443204176567,0.4546,0.0445693335278924,0.00940953994954697
cal_binning_5,marginal,0.8874,0.248740195591634,0.6028,0.0767657977230459,0.0108976505610373
conditional,marginal,0.8912,0.123919615285442,0.4068,0.0130702211857961,0.0105700816962175
isotonic,marginal,0.8876,0.130029206551096,0.3948,0.0243117024353494,0.021074528467624
marginal,marginal,0.8844,0.120487914406651,0.4086,0.0130702211857961,0.0106308294479396
mondrian_10,marginal,0.885,0.122391057419249,0.4086,0.0130702211857961,0.010625050204464
mondrian_5,marginal,0.8828,0.120779104551067,0.4086,0.0130702211857961,0.0105629001138187
oracle,marginal,0.8968,0.11706572474052,0.4054,0.0130702211857961,0.0106080425586982
