method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.88,0.154535841002549,0.695,0.0561200777235216,0.0132236021123986
binning2,1,0.855,0.269603860478824,0.435,0.0842951042802932,0.0186371107018848
conditional,1,0.96,0.104454406908704,0.47,0.0193835255654851,0.0147519952725577
isotonic,1,0.91,0.091412976758109,0.595,0.0326229385174017,0.0258272309549822
marginal,1,0.99,0.108195421878199,0.51,0.0193835255654851,0.0143578123372282
binning,2,0.905,0.0807544870318725,0.355,0.0247037475093759,0.0128963725681533
binning2,2,0.925,0.133481413847598,0.38,0.0428540837340073,0.0317287302141313
conditional,2,1,0.108434468941269,0.355,0.0128040118693087,0.00675824070515606
isotonic,2,0.895,0.0550860588919827,0.355,0.015342030088602,0.0102524296452637
marginal,2,1,0.108195421878199,0.355,0.0128040118693087,0.00689745622859006
binning,3,0.925,0.0814578047881865,0.3,0.0156420631049858,0.00637958032931111
binning2,3,0.91,0.11354731558975,0.3,0.0302483887842903,0.0173359340111697
conditional,3,0.995,0.110334207272394,0.35,0.0120459835105291,0.0048662832853014
isotonic,3,0.91,0.0729584388243777,0.355,0.0116449972896267,0.00253352287379111
marginal,3,0.995,0.108195421878199,0.335,0.0120459835105291,0.00600883902715094
binning,4,0.91,0.118093509560885,0.84,0.0182444021821826,0.00844776629707074
binning2,4,0.94,0.147888713826382,0.84,0.0330677353561034,0.0171777471257304
conditional,4,0.92,0.116280784993962,0.875,0.0112419985197632,0.00734437437393409
isotonic,4,0.945,0.125747802461443,0.885,0.0119708103807381,0.00730940877365375
marginal,4,0.91,0.108195421878199,0.86,0.0112419985197632,0.00841006184995228
binning,5,0.915,0.244792715380253,0.33,0.0396313443455294,0
binning2,5,0.93,0.300200573986101,0.33,0.0667374541021704,0.00909253038456902
conditional,5,0.68,0.120619183025225,0.33,0.0233039888965751,0.0117351539160185
isotonic,5,0.965,0.281736254251121,0.33,0.029058501346894,0.024277665445904
marginal,5,0.645,0.108195421878199,0.33,0.0233039888965751,0.00926459400749702
binning,marginal,0.907,0.135926871552749,0.504,0.0343741590980801,0
binning2,marginal,0.912,0.192944375545731,0.457,0.0555057925337041,0.0060083251287545
conditional,marginal,0.911,0.112024610228311,0.476,0.01645738698119,0.00776711424286569
isotonic,marginal,0.925,0.125388306237407,0.504,0.0220133448995112,0.0154447504895819
marginal,marginal,0.908,0.108195421878199,0.478,0.01645738698119,0.00884300729439943
