method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.828,0.332610425893401,0.483,0.112691988154717,0.0809719962197367
cal_binning_5,1,0.796,0.334627469530132,0.483,0.124905077587039,0.090878726718858
conditional,1,0.762,0.306533404052626,0.483,0.133102971358871,0.116678333935071
isotonic,1,0.847,0.315673770699128,0.483,0.10394298927456,0.0801368124028178
marginal,1,0.75,0.330841898143213,0.483,0.133102971358871,0.116415310159966
mondrian_10,1,0.768,0.308070777423354,0.483,0.133102971358871,0.11672712080517
mondrian_5,1,0.745,0.294037093745972,0.483,0.133102971358871,0.116450418298994
oracle,1,0.905,0.100081566631118,0.483,0.133102971358871,0.116646979151508
cal_binning_10,2,0.933,0.29976024440435,0.902,0.0704958840179815,0.0642654390229517
cal_binning_5,2,0.916,0.328728783576035,0.944,0.0858085692450932,0.0807327982479121
conditional,2,0.921,0.298891749649321,0.874,0.0935578219378158,0.0889212994773222
isotonic,2,0.93,0.306383532781095,0.911,0.0688896112827954,0.0624608558917779
marginal,2,0.901,0.333781989817591,0.944,0.0935578219378158,0.088985516755036
mondrian_10,2,0.913,0.30777929384531,0.944,0.0935578219378158,0.0890079546112928
mondrian_5,2,0.91,0.320444725829417,0.944,0.0935578219378158,0.0890340950831191
oracle,2,0.885,0.110422950206036,0.637,0.0935578219378158,0.0889950598836341
cal_binning_10,3,0.936,0.299670698291862,0.889,0.0714075171776451,0.0668605608761989
cal_binning_5,3,0.944,0.314867079296894,1,0.0775860963560352,0.0727680643109641
conditional,3,0.953,0.294641476265917,0.799,0.0723467610326106,0.0669919948730998
isotonic,3,0.957,0.307018602199491,0.915,0.0702843352853251,0.065963006587985
marginal,3,0.962,0.333781989817591,1,0.0723467610326106,0.066836450961536
mondrian_10,3,0.917,0.315897642524716,1,0.0723467610326106,0.0668699497094632
mondrian_5,3,0.921,0.32811621018582,1,0.0723467610326106,0.0670229603777091
oracle,3,0.89,0.125322429106878,0.304,0.0723467610326106,0.0668611864488475
cal_binning_10,4,0.926,0.28826716778106,0.804,0.0719436938300886,0.0633150989696497
cal_binning_5,4,0.929,0.320722480655669,0.883,0.0867946321237222,0.0799103621840972
conditional,4,0.975,0.289178759411191,0.807,0.0523375399445375,0.0420222519403714
isotonic,4,0.928,0.303452347260658,0.809,0.0693208337190341,0.06052584066758
marginal,4,0.993,0.333781989817591,0.883,0.0523375399445375,0.0423644102301497
mondrian_10,4,0.967,0.294830697423724,0.883,0.0523375399445375,0.0419828900685781
mondrian_5,4,0.984,0.314294759764959,0.883,0.0523375399445375,0.0421786733022512
oracle,4,0.913,0.151272655793046,0.57,0.0523375399445375,0.0421427705641421
cal_binning_10,5,0.909,0.34510994979676,0.366,0.0692258204863557,0.0436024733390658
cal_binning_5,5,0.92,0.386910267450406,0.364,0.0798598063367155,0.0460002640675602
conditional,5,0.892,0.286224060820182,0.363,0.0520275061402326,0.0388333898439556
isotonic,5,0.918,0.324627504045346,0.367,0.0581893339690199,0.0423219175244154
marginal,5,0.935,0.333781989817591,0.364,0.0520275061402326,0.0391520377303651
mondrian_10,5,0.931,0.327612956625228,0.364,0.0520275061402326,0.0384181226420621
mondrian_5,5,0.916,0.312680281053018,0.364,0.0520275061402326,0.0388668267125357
oracle,5,0.889,0.226703502785158,0.364,0.0520275061402326,0.0391444602429576
cal_binning_10,marginal,0.9064,0.313083697233487,0.6888,0.0809151366199698,0.00872451251473187
cal_binning_5,marginal,0.901,0.337171216101827,0.7348,0.0926227705743164,0.0125638214378193
conditional,marginal,0.9006,0.295093890039847,0.6652,0.0861969841059837,0.0449305275381473
isotonic,marginal,0.916,0.311431151397144,0.697,0.075737953396941,0.0120387562399458
marginal,marginal,0.9082,0.333193971482716,0.7348,0.0861969841059837,0.0451280163361911
mondrian_10,marginal,0.8992,0.310838273568466,0.7348,0.0861969841059837,0.0450884789845159
mondrian_5,marginal,0.8952,0.313914614115837,0.7348,0.0861969841059837,0.0449440891130802
oracle,marginal,0.8964,0.142760620904447,0.4716,0.0861969841059837,0.0450067137218965
