method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.845,0.331388378071858,0.35,0.110221136015854,0.0744101668038544
binning2,1,0.8,0.319157070219588,0.36,0.118025238316651,0.0829659054856779
conditional,1,0.77,0.3270362109296,0.35,0.146024638677927,0.127014705780912
isotonic,1,0.855,0.323204287842841,0.35,0.103699791217014,0.0740581067699808
marginal,1,0.695,0.326600486054218,0.35,0.146024638677927,0.127049005068183
binning,2,0.92,0.291725711847439,0.99,0.0773591887206064,0.0733584326197309
binning2,2,0.91,0.30479764644019,0.785,0.0886863065018944,0.0856708272808342
conditional,2,0.955,0.315932476266343,0.84,0.0950905499601225,0.0912055282234888
isotonic,2,0.905,0.313583505294633,0.99,0.0761541031542446,0.0722320665210012
marginal,2,0.91,0.326600486054218,0.99,0.0950905499601225,0.0911690066550211
binning,3,0.925,0.283715818576425,1,0.0716415442398173,0.0681077841037869
binning2,3,0.92,0.292961736703909,0.68,0.0770457403198661,0.0731868733600955
conditional,3,0.975,0.300236804438239,0.85,0.0601658692016832,0.0561463671114731
isotonic,3,0.97,0.307740492589649,1,0.0670301689456215,0.0631772134990239
marginal,3,0.99,0.326600486054218,1,0.0601658692016832,0.0561576596801402
binning,4,0.945,0.269945012432485,0.9,0.0681578283527307,0.0600179885760719
binning2,4,0.965,0.276858822512035,0.745,0.0759863137002803,0.0682300957604064
conditional,4,0.965,0.276797937863192,0.84,0.0488081889672187,0.0396713382847067
isotonic,4,0.955,0.286816640219064,0.9,0.0634342401190629,0.0549982157872602
marginal,4,0.995,0.326600486054218,0.9,0.0488081889672187,0.0398113887958764
binning,5,0.855,0.336646656627302,0.325,0.0813804408903424,0.0518614660385842
binning2,5,0.84,0.312404259004982,0.325,0.0936753355707767,0.0649153378780023
conditional,5,0.835,0.258891416805009,0.325,0.061747891785802,0.0482422518237698
isotonic,5,0.845,0.304748231774248,0.325,0.0722479400249651,0.0563441991133535
marginal,5,0.9,0.326600486054218,0.325,0.061747891785802,0.0495717123334182
binning,marginal,0.898,0.302684315511102,0.713,0.0831070628652804,0.00585694993701647
binning2,marginal,0.887,0.301235906976141,0.579,0.0919567858356755,0.00718657666384726
conditional,marginal,0.9,0.295778969260477,0.641,0.0896441644054787,0.0482868856905174
isotonic,marginal,0.906,0.307218631544087,0.713,0.0778329047792668,0.0171876196975369
marginal,marginal,0.898,0.326600486054218,0.713,0.0896441644054787,0.0490939301760154
