method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.855,0.265700356801877,0.515,0.0959596881986078,0.0190351814758081
binning2,1,0.85,0.342153366026793,0.515,0.116166405210609,0.0367664269680019
conditional,1,0.98,0.29414039528366,0.515,0.0590814611671566,0.0424198268807385
isotonic,1,0.89,0.169444128876378,0.515,0.0595083983727342,0.0333016258416537
marginal,1,1,0.393402005467045,0.515,0.0590814611671566,0.0427789340102399
binning,2,0.905,0.185591446264894,0.61,0.0515849823853904,0.0199567677155351
binning2,2,0.91,0.309777908597615,0.95,0.0944591595780409,0.0387224004439193
conditional,2,1,0.331443124786724,0.835,0.0184001644492709,0.015371713672467
isotonic,2,0.905,0.0871176642679528,0.47,0.0281562561676099,0.0242912120617935
marginal,2,1,0.393402005467045,0.84,0.0184001644492709,0.0155838281073177
binning,3,0.885,0.205392231020684,0.42,0.047717567684191,0.0299885873941234
binning2,3,0.93,0.311326925155679,0.42,0.0851007420558339,0.0444404256391156
conditional,3,1,0.358778327123579,0.365,0.032400021137468,0.0269030570242474
isotonic,3,0.88,0.151552827123008,0.35,0.0240539866251017,0.0139953254264463
marginal,3,1,0.393402005467045,0.365,0.032400021137468,0.0274481011156894
binning,4,0.875,0.426895276091205,0.705,0.0373421797185433,0.0199888384360807
binning2,4,0.89,0.478697929011657,0.705,0.0609942783939293,0.0149031898814189
conditional,4,0.87,0.382916512632697,0.67,0.0342609247654022,0.00645939911974039
isotonic,4,0.92,0.478259828934327,0.65,0.0393943857685232,0.024093507917696
marginal,4,0.88,0.393402005467045,0.67,0.0342609247654022,0
binning,5,0.845,0.740312924582687,0.475,0.0439792351327431,0.0369848700538863
binning2,5,0.845,0.743782079133665,0.475,0.0623134854712086,0.0538193720365702
conditional,5,0.57,0.394698207617558,0.475,0.0611061941219143,0.059685781031598
isotonic,5,0.86,0.794003809879132,0.475,0.0454397387531476,0.033948962498384
marginal,5,0.565,0.393402005467045,0.475,0.0611061941219143,0.0529050293644929
binning,marginal,0.873,0.364778446952269,0.545,0.0591182711884634,0.015493186159627
binning2,marginal,0.885,0.437147641585082,0.613,0.0863279506238454,0.0121084181612284
conditional,marginal,0.884,0.352395313488844,0.572,0.0442418905585203,0.0364414231069251
isotonic,marginal,0.891,0.33607565181616,0.492,0.0413020725844556,0.0204581844153358
marginal,marginal,0.889,0.393402005467045,0.573,0.0442418905585203,0.0367283459829786
