method,bin,coverage,width,risk,rmse,cal_error
binning,5,0.891,0.167141779862465,0.419,0.051001019626785,0.014430112904166
binning2,5,0.907,0.273778379660122,0.584,0.0878309332907476,0.00786684008717771
conditional,5,0.894,0.0876978598490737,0.366,0.0118277626165713,0.0100865513371173
isotonic,5,0.91,0.104054847068454,0.36,0.027284464477595,0.0229850666343225
marginal,5,0.893,0.0873106328022684,0.366,0.0118277626165713,0.00990071957160182
binning,marginal,0.891,0.167141779862465,0.419,0.051001019626785,0.0145873165893508
binning2,marginal,0.907,0.273778379660122,0.584,0.0878309332907476,0.00867810264847329
conditional,marginal,0.894,0.0876978598490737,0.366,0.0118277626165713,0.0102912243197643
isotonic,marginal,0.91,0.104054847068454,0.36,0.027284464477595,0.02299467419233
marginal,marginal,0.893,0.0873106328022684,0.366,0.0118277626165713,0.0103584650255072
