method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.84,0.24506716938985,0.43,0.0873456686064943,0.0429182687735661
binning2,1,0.865,0.29216652612257,0.43,0.102311683634583,0.0544859746503216
conditional,1,0.75,0.262754844935229,0.425,0.119937849318279,0.105003281677475
isotonic,1,0.885,0.230290649701428,0.43,0.0773220771908946,0.049956773247624
marginal,1,0.74,0.262611891090067,0.425,0.119937849318279,0.103622131650548
binning,2,0.915,0.216994919403134,0.805,0.0605571739445535,0.0523487212338394
binning2,2,0.93,0.246978894336194,0.81,0.0718057947379961,0.0646948143313166
conditional,2,1,0.261213277496022,0.915,0.0434632885429656,0.0309001138480436
isotonic,2,0.925,0.230437290489214,0.795,0.0528131758526458,0.0431060095185817
marginal,2,1,0.262611891090067,0.885,0.0434632885429656,0.0307927282294477
binning,3,0.94,0.18198037334295,0.425,0.0497663215476841,0.0425088227299845
binning2,3,0.945,0.208327457795875,0.625,0.060034326778906,0.054535242238605
conditional,3,1,0.25927635742185,0.6,0.0364984385441321,0.0252767751135851
isotonic,3,0.95,0.187365433261848,0.49,0.0439909071657116,0.0354942254801852
marginal,3,1,0.262611891090067,0.605,0.0364984385441321,0.0252149318714144
binning,4,0.895,0.195474603403311,0.66,0.0523509548786747,0.045465600179051
binning2,4,0.915,0.226719928474125,0.825,0.064033969206944,0.0578588993579719
conditional,4,0.94,0.257459912656753,0.81,0.0557593545020109,0.0516117768832482
isotonic,4,0.925,0.191225063459142,0.755,0.0445358705861477,0.0371004227115608
marginal,4,0.945,0.262611891090067,0.815,0.0557593545020109,0.0516740117093086
binning,5,0.86,0.273793662875115,0.3,0.0594903873410104,0.0237604748592849
binning2,5,0.865,0.296123846684725,0.3,0.0781966381845182,0.0375125905140118
conditional,5,0.805,0.25712325670973,0.3,0.0767482245224377,0.0705257088556868
isotonic,5,0.925,0.258425880547399,0.3,0.0460804864327294,0.0311426192931792
marginal,5,0.825,0.262611891090067,0.3,0.0767482245224377,0.0692191825399642
binning,marginal,0.89,0.222662145682872,0.524,0.0633290653074027,0
binning2,marginal,0.904,0.254063330682698,0.598,0.0767371312907266,0
conditional,marginal,0.899,0.259565529843917,0.61,0.0729461126422106,0.0507579961603054
isotonic,marginal,0.922,0.219548863491806,0.554,0.0544242410636335,0.0156072934307481
marginal,marginal,0.902,0.262611891090067,0.606,0.0729461126422106,0.0505009375725415
