method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.93,0.342667066849464,0.42,0.0966167699685668,0.0382759831600335
binning2,1,0.95,0.558283326852123,0.42,0.133644912373731,0.0486009040886415
conditional,1,0.86,0.199201449183012,0.42,0.0762131292577618,0.0582604877430953
isotonic,1,0.94,0.261862551992974,0.42,0.0782373016324988,0.0247629143251146
marginal,1,0.86,0.207781396191437,0.42,0.0762131292577618,0.0536920945025139
binning,2,0.97,0.194873554399511,0.73,0.0497499948990655,0.0345904245685625
binning2,2,0.95,0.299177828024038,0.97,0.106723037873968,0.0974297309695345
conditional,2,1,0.204788534254112,0.68,0.0340682883016463,0.0169144216559267
isotonic,2,0.95,0.170826855507592,0.61,0.0466031562701452,0.0354863230938404
marginal,2,1,0.207781396191437,0.73,0.0340682883016463,0.0159247535391057
binning,3,0.9,0.17601959838206,0.29,0.0452545886805735,0.0263412279552929
binning2,3,0.95,0.226718494385054,0.5,0.0630808677453916,0.0446411539477336
conditional,3,0.95,0.209050242208912,0.29,0.0444985564495946,0.0292929172792637
isotonic,3,0.91,0.171400557013792,0.28,0.0363807860693991,0.0160789708469679
marginal,3,0.96,0.207781396191437,0.29,0.0444985564495946,0.0298674200451866
binning,4,0.9,0.205578855342632,0.6,0.0472138546648032,0.0348292609083306
binning2,4,0.94,0.280038554864502,0.84,0.0687120922056151,0.0503364330251243
conditional,4,0.95,0.214704311563467,0.47,0.0429824699989249,0.0360398217786999
isotonic,4,0.97,0.235991369441333,0.6,0.0444520627919454,0.0347740957788968
marginal,4,0.94,0.207781396191437,0.46,0.0429824699989249,0.0344895867932071
binning,5,0.85,0.333525649340746,0.4,0.0583795860497879,0.0281718494500672
binning2,5,0.81,0.337473308178643,0.4,0.0777747289343231,0.0405322186954902
conditional,5,0.7,0.221463588566231,0.4,0.0421995544549986,0.029645625476762
isotonic,5,0.89,0.331785590503458,0.4,0.0541262430121093,0.0413591394647341
marginal,5,0.69,0.207781396191437,0.4,0.0421995544549986,0.0284972801709925
binning,marginal,0.91,0.250532944862883,0.488,0.0624422359752077,0.0163184269234861
binning2,marginal,0.92,0.340338302460872,0.626,0.0938085554392803,0.0100262783647342
conditional,marginal,0.892,0.209841625155147,0.452,0.0501547724320847,0.0271974348639915
isotonic,marginal,0.932,0.23437338489183,0.462,0.0538927215960867,0.0198590683021833
marginal,marginal,0.89,0.207781396191437,0.46,0.0501547724320847,0.0252515116394497
