method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.93,0.477217231286884,0.45,0.157597794872044,0.146167052969764
binning2,1,0.9,0.455379082401817,0.45,0.162008421099112,0.150826216779525
conditional,1,0.89,0.546438748559801,0.45,0.216196939297206,0.209614776506597
isotonic,1,0.92,0.496868629806682,0.45,0.155502662490163,0.144287852918358
marginal,1,0.86,0.55012901826708,0.45,0.216196939297206,0.209692501377732
binning,2,1,0.502843749382702,0.96,0.0792865375455111,0.0755577336136667
binning2,2,1,0.478547882406098,0.96,0.0807122930313834,0.0777773825944704
conditional,2,1,0.509452120155692,0.96,0.134283542783444,0.132371154675613
isotonic,2,1,0.521515863995469,0.96,0.077720800900231,0.0729018816772599
marginal,2,1,0.55012901826708,0.96,0.134283542783444,0.132468830235596
binning,3,1,0.504710703866057,1,0.0594708556995407,0.0539425323218868
binning2,3,1,0.494924801662788,1,0.0578458226841976,0.0537011792306121
conditional,3,1,0.509382261029679,1,0.0883573775667115,0.0845750688763306
isotonic,3,1,0.524195670602565,1,0.0635839489226239,0.0581941484708265
marginal,3,1,0.55012901826708,1,0.0883573775667115,0.0856343927122559
binning,4,0.97,0.531391677876159,0.88,0.0791162397759858,0.0763825705547347
binning2,4,0.97,0.504251524778979,0.88,0.0759572841125296,0.0763990972088607
conditional,4,1,0.496852641326191,0.88,0.0460034562425084,0.0430774370977311
isotonic,4,0.99,0.551652907238726,0.88,0.078877798755071,0.0756000434705109
marginal,4,1,0.55012901826708,0.88,0.0460034562425084,0.0434403625090621
binning,5,0.9,0.535367600100685,0.44,0.143428864446319,0.134494742829376
binning2,5,0.87,0.524737474628461,0.44,0.149272709376165,0.139214091841672
conditional,5,0.93,0.477125592426565,0.44,0.0823844960667945,0.0618936056613078
isotonic,5,0.93,0.550531818856256,0.44,0.141579990376636,0.131733563676686
marginal,5,0.98,0.55012901826708,0.44,0.0823844960667945,0.0633494761980613
binning,marginal,0.96,0.510306192502498,0.746,0.110897629564183,0
binning2,marginal,0.948,0.491568153175629,0.746,0.113277705423155,0.00256578005212569
conditional,marginal,0.964,0.507850272699586,0.746,0.127658713586543,0.0671453028980977
isotonic,marginal,0.968,0.528952978099939,0.746,0.11002828755024,0
marginal,marginal,0.968,0.55012901826708,0.746,0.127658713586543,0.0669742155707502
