method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.8,0.49602334841489,0.435,0.207973594481492,0.19221379723486
cal_binning_5,1,0.785,0.520688359856528,0.435,0.212609039157881,0.197163049362898
conditional,1,0.75,0.606023043540872,0.455,0.301594232570746,0.292247532951678
isotonic,1,0.785,0.505478229523011,0.435,0.208644922592065,0.194244720781393
marginal,1,0.68,0.638607768376852,0.435,0.301594232570746,0.292235831166943
mondrian_10,1,0.6,0.522428035764701,0.435,0.301594232570746,0.29279099242085
mondrian_5,1,0.58,0.533163881799951,0.435,0.301594232570746,0.292125894328794
oracle,1,0.89,0.068586700410209,0.78,0.301594232570746,0.292579143289975
cal_binning_10,2,1,0.505007296098316,0.955,0.119421321920565,0.112707460677345
cal_binning_5,2,1,0.52571154624997,0.955,0.115651934083811,0.108566608396319
conditional,2,0.975,0.57560144549913,0.945,0.205395502379693,0.200621566458962
isotonic,2,1,0.511701683422346,0.955,0.116299910081261,0.109196089401916
marginal,2,0.88,0.639323393864337,0.955,0.205395502379693,0.200408969289551
mondrian_10,2,0.95,0.528646003907206,0.955,0.205395502379693,0.200285075278065
mondrian_5,2,0.935,0.547733224504688,0.955,0.205395502379693,0.200064780793413
oracle,2,0.89,0.0884620260223987,0.435,0.205395502379693,0.200417845951137
cal_binning_10,3,0.99,0.533271088171522,1,0.0769218377338722,0.0734095382269446
cal_binning_5,3,0.985,0.5411064982376,1,0.0865421265069748,0.084052945941328
conditional,3,0.995,0.575094803987392,1,0.155739373994059,0.151736013913425
isotonic,3,0.99,0.537642084836232,1,0.0745281601468478,0.071425878207104
marginal,3,1,0.639323393864337,1,0.155739373994059,0.151568240415808
mondrian_10,3,0.995,0.587278076272154,1,0.155739373994059,0.15182287483669
mondrian_5,3,0.995,0.595234628925484,1,0.155739373994059,0.15182026061688
oracle,3,0.895,0.119720354047591,1,0.155739373994059,0.151472396988503
cal_binning_10,4,0.98,0.548136741942851,0.845,0.0920298628975297,0.0855916143961422
cal_binning_5,4,0.98,0.548984406811696,0.845,0.0964543043235929,0.0905760518150868
conditional,4,0.985,0.532344698746347,0.845,0.0939367852719539,0.0867983789126429
isotonic,4,0.985,0.547633994711066,0.845,0.0901221091005685,0.0853109548419946
marginal,4,1,0.639323393864337,0.845,0.0939367852719539,0.0868588784770476
mondrian_10,4,0.985,0.616792916142662,0.845,0.0939367852719539,0.0862027162103617
mondrian_5,4,0.995,0.620553122599632,0.845,0.0939367852719539,0.0867886642996323
oracle,4,0.9,0.172239903636216,0.845,0.0939367852719539,0.0865199678381148
cal_binning_10,5,0.845,0.576644626654713,0.41,0.190505680068471,0.173287569508832
cal_binning_5,5,0.825,0.571952406608901,0.41,0.190509375865218,0.172947574931715
conditional,5,0.88,0.494102376989497,0.41,0.0831535903313591,0.0584790317566843
isotonic,5,0.835,0.580609648838458,0.41,0.188710506152795,0.171088759558625
marginal,5,0.975,0.639323393864337,0.41,0.0831535903313591,0.0575881781580334
mondrian_10,5,0.955,0.6808994180396,0.41,0.0831535903313591,0.0560923438534306
mondrian_5,5,0.965,0.673517256821318,0.41,0.0831535903313591,0.0586238496599672
oracle,5,0.89,0.312579269130893,0.41,0.0831535903313591,0.0578536586709872
cal_binning_10,marginal,0.923,0.531816620256458,0.729,0.147100881747495,0.00553447352200059
cal_binning_5,marginal,0.915,0.541688643552939,0.729,0.149442141422302,0.00621233043649555
conditional,marginal,0.917,0.556633273752647,0.731,0.186085886268696,0.117478712644293
isotonic,marginal,0.919,0.536613128266223,0.729,0.145839959643721,0
marginal,marginal,0.907,0.63918026876684,0.729,0.186085886268696,0.117544900482281
mondrian_10,marginal,0.897,0.587208890025265,0.729,0.186085886268696,0.117192861921073
mondrian_5,marginal,0.894,0.594040422930215,0.729,0.186085886268696,0.1178341110901
oracle,marginal,0.893,0.152317650649462,0.694,0.186085886268696,0.117525374668665
