method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.925,0.176815852905003,0.35,0.0601660394653847,0.00998171559401447
binning2,1,0.915,0.290133404149735,0.35,0.089463610665577,0.0175795422664966
conditional,1,0.995,0.196494362015591,0.35,0.0234176456394619,0.0155101016223729
isotonic,1,0.94,0.117893482778616,0.35,0.0346197129821819,0.0233405760387322
marginal,1,0.995,0.230085933987852,0.35,0.0234176456394619,0.0149664291861472
binning,2,0.91,0.0960415866422382,0.7,0.0215606322692382,0.0121245055544936
binning2,2,0.95,0.144273796803519,0.935,0.0425344333833183,0.0302586080316913
conditional,2,1,0.20276774224984,0.95,0.0131802363367484,0.00237537283817186
isotonic,2,0.95,0.0926991855431675,0.735,0.0147835364693614,0.00537707488510033
marginal,2,1,0.230085933987852,0.97,0.0131802363367484,0
binning,3,0.9,0.128861380512224,0.335,0.0176646506115703,0.00626816658068413
binning2,3,0.88,0.149147620491751,0.395,0.0294381176031434,0.0158841799991647
conditional,3,0.99,0.212987891532369,0.57,0.0130003563065637,0.00532751647436171
isotonic,3,0.85,0.118934790364359,0.335,0.0156160336363789,0.0124662777904925
marginal,3,0.995,0.230085933987852,0.605,0.0130003563065637,0.00375677679401797
binning,4,0.94,0.214199449860849,0.755,0.0200469218004773,0.0102012356417167
binning2,4,0.9,0.210686790364105,0.755,0.0333396682239492,0.0212971868787799
conditional,4,0.96,0.212772339880316,0.72,0.014299697628858,0.0152265870989215
isotonic,4,0.95,0.203436299546554,0.695,0.0171133794730115,0.00670081242123972
marginal,4,0.975,0.230085933987852,0.8,0.014299697628858,0.0130450528367684
binning,5,0.905,0.425431379024703,0.435,0.0473266969328484,0
binning2,5,0.885,0.448536763204228,0.435,0.076232519443274,0
conditional,5,0.68,0.224444479936169,0.435,0.0292280715427484,0
isotonic,5,0.915,0.475959706728996,0.435,0.0252306353456554,0.0198592211140017
marginal,5,0.69,0.230085933987852,0.435,0.0292280715427484,0
binning,marginal,0.916,0.208269929789003,0.515,0.03751945726227,0
binning2,marginal,0.906,0.248555675002667,0.574,0.0593337154112745,0.00600679820901878
conditional,marginal,0.925,0.209893363122857,0.605,0.0197477874186976,0.00737990049391285
isotonic,marginal,0.921,0.201784692992339,0.51,0.022761329930278,0.0131516196508924
marginal,marginal,0.931,0.230085933987852,0.632,0.0197477874186976,0
