method,bin,coverage,width,risk,rmse,cal_error
cal_binning_1,1,0.93,0.140525386318646,0.4225,0.0351983716914629,0.0135186443223282
cal_binning_2,1,0.925,0.200647427007309,0.4225,0.0562362242774181,0.0116240453792678
conditional,1,0.9525,0.143061936479603,0.4225,0.0218333049854603,0.0119846705948953
isotonic,1,0.9425,0.130333297635033,0.4225,0.0294529248705714,0.0217474871284165
marginal,1,0.9875,0.205612027237002,0.4225,0.0218333049854603,0.0118441244310093
mondrian_1,1,0.9075,0.112662978706836,0.4225,0.0218333049854603,0.0125024845194475
mondrian_2,1,0.9225,0.129266032652,0.4225,0.0218333049854603,0.01241300968574
oracle,1,0.8975,0.0847928225704561,0.4225,0.0218333049854603,0.0124468729386536
cal_binning_1,2,0.92,0.126197302684877,0.5925,0.0131735342172755,0.00250131755172047
cal_binning_2,2,0.91,0.124467720329454,0.5925,0.018691349382403,0.00449034573142657
conditional,2,0.9875,0.157345210569169,0.7725,0.00884533989099085,0
isotonic,2,0.905,0.119132163936353,0.5925,0.0160675043813377,0.0114546882233983
marginal,2,1,0.208788467728191,0.93,0.00884533989099085,0.00193644179790649
mondrian_1,2,0.8925,0.110637557293527,0.5925,0.00884533989099085,0
mondrian_2,2,0.895,0.109044519663819,0.5925,0.00884533989099085,0.0015204478651512
oracle,2,0.9025,0.105907452859148,0.6075,0.00884533989099085,0.00113214400105997
cal_binning_1,3,0.8875,0.140884892281628,0.4225,0.0125528756442691,0.00802954904522569
cal_binning_2,3,0.8975,0.153554245244884,0.3375,0.0169837351395266,0.011929631822059
conditional,3,0.95,0.173970325572894,0.345,0.00879432890123359,0.00580626727294676
isotonic,3,0.8675,0.135865371157539,0.35,0.0121015512199072,0.00598712875166605
marginal,3,0.985,0.208788467728191,0.39,0.00879432890123359,0.00545669765868288
mondrian_1,3,0.8875,0.136052906628379,0.3375,0.00879432890123359,0.0052901886636749
mondrian_2,3,0.9125,0.144054418042911,0.3325,0.00879432890123359,0.00423421533209149
oracle,3,0.9175,0.135642167234128,0.3325,0.00879432890123359,0.00563599316200359
cal_binning_1,4,0.9525,0.218984898326589,0.8625,0.0132640441652987,0.00693634030507887
cal_binning_2,4,0.925,0.213278491027705,0.82,0.0186869198241515,0.0157710605430902
conditional,4,0.9325,0.206200554769404,0.785,0.0098834298262712,0.00319829762564279
isotonic,4,0.9425,0.212254648728696,0.835,0.0154348505623615,0.0104434022998063
marginal,4,0.9375,0.208788467728191,0.835,0.0098834298262712,0
mondrian_1,4,0.93,0.206101538770328,0.82,0.0098834298262712,0
mondrian_2,4,0.915,0.193750959242374,0.795,0.0098834298262712,0
oracle,4,0.9025,0.185629952998889,0.745,0.0098834298262712,0
cal_binning_1,5,0.9175,0.328523995939806,0.41,0.02872302688082,0.0108868872604921
cal_binning_2,5,0.91,0.337394597452963,0.41,0.034922950006365,0.00536929515842022
conditional,5,0.8825,0.279358040366783,0.41,0.0172182564505006,0.0148543733294296
isotonic,5,0.93,0.327541167398909,0.41,0.0241964153952308,0.00669018324110642
marginal,5,0.7775,0.208788467728191,0.41,0.0172182564505006,0.0138261791035611
mondrian_1,5,0.9275,0.32783993619516,0.41,0.0172182564505006,0.0135313553835986
mondrian_2,5,0.915,0.313161012247194,0.41,0.0172182564505006,0.00459662034051711
oracle,5,0.9275,0.326126503267435,0.41,0.0172182564505006,0.0134034301468023
cal_binning_1,marginal,0.9215,0.191023295110309,0.542,0.0226759308574528,0.00771599182785171
cal_binning_2,marginal,0.9135,0.205868496212463,0.5165,0.0327693153168206,0.00487117033721105
conditional,marginal,0.941,0.19198721355157,0.547,0.0143277632973496,0.0052505066590125
isotonic,marginal,0.9175,0.185025329771306,0.522,0.0204733395041691,0.0124624010337804
marginal,marginal,0.9375,0.208153179629953,0.5975,0.0143277632973496,0.0071789096204523
mondrian_1,marginal,0.909,0.178658983518846,0.5165,0.0143277632973496,0.00706577229090545
mondrian_2,marginal,0.912,0.17785538836966,0.5105,0.0143277632973496,0.00696998747398282
oracle,marginal,0.9095,0.167619779786011,0.5035,0.0143277632973496,0.00770797849577239
