method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.985,0.450425218305487,0.77,0.117307317102494,0.096091188299121
binning2,1,0.975,0.519205811140176,0.85,0.153512576058228,0.0985752326177501
conditional,1,0.745,0.0617402770639586,0.495,0.0205219955829246,0.0123089058795542
isotonic,1,0.995,0.433430145832397,0.77,0.0873468160954951,0.0768410647312793
marginal,1,1,0.596867704092191,0.85,0.0205219955829246,0.0117134196982549
binning,2,0.995,0.326260506719815,0.525,0.0939802222030268,0.0807655484934573
binning2,2,0.995,0.407374930333389,0.615,0.106640253521782,0.077092731455545
conditional,2,0.99,0.176714431110463,0.42,0.0329408727092323,0.0178640968953904
isotonic,2,0.985,0.296690118816635,0.555,0.0749880641670625,0.0666452760582206
marginal,2,1,0.596867704092191,0.615,0.0329408727092323,0.0176041662331211
binning,3,0.925,0.347213102759148,0.55,0.0900901065010151,0.0542796606027206
binning2,3,0.94,0.422461018697936,0.585,0.119619161457162,0.0435438019305877
conditional,3,0.945,0.324023614662601,0.52,0.10258439015052,0.0848003512130505
isotonic,3,0.945,0.295547040891206,0.525,0.0776299319829933,0.0460224308631492
marginal,3,0.99,0.596867704092191,0.585,0.10258439015052,0.0848817473154657
binning,4,0.87,0.38664254822825,0.7,0.115874160416982,0.0404940689220815
binning2,4,0.945,0.426390894460021,0.825,0.115692056113802,0.0108332423043918
conditional,4,0.93,0.452360008368596,0.73,0.142571562846267,0.109300202409656
isotonic,4,0.88,0.396148603291099,0.755,0.116363830485078,0.0349225184360005
marginal,4,0.93,0.596867704092191,0.825,0.142571562846267,0.110237513441616
binning,5,0.785,0.553111703138287,0.695,0.201484917235787,0.132831959145141
binning2,5,0.76,0.502583144382536,0.805,0.214849895766186,0.128415076182966
conditional,5,0.91,0.763726949928966,0.78,0.29582228517063,0.261794345768059
isotonic,5,0.765,0.505104354563016,0.765,0.203960507507586,0.120936431001559
marginal,5,0.645,0.596867704092191,0.805,0.29582228517063,0.263013103205928
binning,marginal,0.912,0.412730615830197,0.648,0.130178730233731,0.00121910070545232
binning2,marginal,0.923,0.455603159802812,0.736,0.147507374748192,0.00836305021887128
conditional,marginal,0.904,0.355713056226917,0.589,0.15483364326664,0.112617787186017
isotonic,marginal,0.914,0.385384052678871,0.674,0.12199960004618,0.00516900886253611
marginal,marginal,0.913,0.596867704092191,0.736,0.15483364326664,0.11236264507663
