method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.89,0.189593144282711,0.67,0.0669880059742931,0.0390297091041709
binning2,1,0.88,0.221424804129147,0.64,0.0867390715996436,0.0319761368502062
conditional,1,0.88,0.0759799701613893,0.71,0.0285359907978788,0.0124913750712291
isotonic,1,0.94,0.187583275166832,0.63,0.0603097400775957,0.040357447045194
marginal,1,1,0.221618384566569,0.77,0.0285359907978788,0.0121821323895257
binning,2,0.97,0.196020898077848,0.68,0.0482450039890864,0.0239620928600072
binning2,2,0.95,0.226011680546651,0.61,0.0625492911088349,0.0215655283124842
conditional,2,0.91,0.125483835874207,0.74,0.0457539221299424,0.0365509044487665
isotonic,2,0.99,0.192076557859471,0.66,0.0434467387441445,0.0252330845642864
marginal,2,0.99,0.221618384566569,0.77,0.0457539221299424,0.0354219525473785
binning,3,0.89,0.200383209336121,0.7,0.0714612416627689,0.0292113219748294
binning2,3,0.89,0.226019140134015,0.59,0.0813548572700371,0.0295798072425366
conditional,3,0.88,0.159317304120922,0.72,0.0635875580034038,0.0486997423843608
isotonic,3,0.92,0.192811909903101,0.65,0.0605325406733659,0.0327397836747647
marginal,3,0.93,0.221618384566569,0.73,0.0635875580034038,0.0492389802952157
binning,4,0.9,0.202312703917856,0.66,0.0605977277421809,0.0185730931193298
binning2,4,0.91,0.22716508503979,0.59,0.0699272233907036,0.0150788314572996
conditional,4,0.88,0.203217548575196,0.72,0.0738145104147416,0.0584555255975482
isotonic,4,0.88,0.188559560007547,0.6,0.0565827537784606,0.0320392783904866
marginal,4,0.85,0.221618384566569,0.7,0.0738145104147416,0.0594539047271905
binning,5,0.7,0.190704427165104,0.77,0.0805657709748357,0.0454132923051418
binning2,5,0.74,0.222282258068198,0.67,0.0912384190900441,0.0513842530093217
conditional,5,0.77,0.26650837478768,0.82,0.0993969703422452,0.0914431654459029
isotonic,5,0.71,0.179133522603688,0.69,0.0770219398947184,0.0606523613553946
marginal,5,0.61,0.221618384566569,0.83,0.0993969703422452,0.0920348662916895
binning,marginal,0.87,0.195802876555928,0.696,0.0664599284901642,0.0204284947008986
binning2,marginal,0.874,0.22458059358356,0.62,0.0790809191281916,0.0155010352492894
conditional,marginal,0.864,0.166101406703879,0.742,0.0667524401874731,0.047625129172305
isotonic,marginal,0.888,0.188032965108128,0.646,0.0605360381696743,0.0269092216504688
marginal,marginal,0.876,0.221618384566569,0.76,0.0667524401874731,0.0479184405825483
