method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.87,0.289120963027489,0.453,0.0939061179408373,0.0365822490142923
cal_binning_5,1,0.865,0.394569501975195,0.453,0.118116891982056,0.0476473436250907
conditional,1,0.787,0.249768028332054,0.453,0.0984907917951647,0.0839807546892341
isotonic,1,0.921,0.250756807335967,0.454,0.0706310133834836,0.0444296591605542
marginal,1,0.797,0.256817492909268,0.453,0.0984907917951647,0.083693610234378
mondrian_10,1,0.867,0.266049326127435,0.453,0.0984907917951647,0.08396876791225
mondrian_5,1,0.854,0.293831292950768,0.453,0.0984907917951647,0.0839362524521748
oracle,1,0.899,0.0977497640615884,0.453,0.0984907917951647,0.0839276994868983
cal_binning_10,2,0.914,0.221570634843656,0.71,0.0551174746630758,0.0448538546554842
cal_binning_5,2,0.933,0.271490732882238,0.89,0.0810139739030697,0.0734273064462618
conditional,2,0.968,0.229959978324742,0.765,0.0417131520654035,0.0282718446131767
isotonic,2,0.916,0.214074616278972,0.636,0.0505769704529784,0.0408206934892653
marginal,2,0.986,0.256975634821422,0.806,0.0417131520654035,0.0281183324767819
mondrian_10,2,0.948,0.210013930165096,0.71,0.0417131520654035,0.0283099763109198
mondrian_5,2,0.954,0.212528509373308,0.71,0.0417131520654035,0.0282119456163347
oracle,2,0.911,0.107227216363138,0.544,0.0417131520654035,0.0283197037603806
cal_binning_10,3,0.925,0.224207892748972,0.443,0.0496331939406505,0.0412872018925614
cal_binning_5,3,0.9,0.23610108686088,0.539,0.062337671693855,0.0550398883689093
conditional,3,0.959,0.227941657102274,0.366,0.041228930300348,0.0309152949105698
isotonic,3,0.933,0.241854110371887,0.459,0.04475106266244,0.036659762794165
marginal,3,0.98,0.256975634821422,0.402,0.041228930300348,0.0309387574495206
mondrian_10,3,0.939,0.21908598149423,0.356,0.041228930300348,0.0308629492984586
mondrian_5,3,0.944,0.213079222757067,0.356,0.041228930300348,0.0309588605847777
oracle,3,0.913,0.126944798101377,0.306,0.041228930300348,0.0309455017099241
cal_binning_10,4,0.905,0.240913402184329,0.819,0.0459471863994856,0.035341683418808
cal_binning_5,4,0.918,0.271420323911344,0.82,0.0632035770602937,0.0531108963947865
conditional,4,0.901,0.241494770339864,0.641,0.0529891406411217,0.0430785051806449
isotonic,4,0.936,0.250680696150795,0.833,0.04134939039686,0.0291802300839058
marginal,4,0.92,0.256975634821422,0.689,0.0529891406411217,0.0433780920778248
mondrian_10,4,0.908,0.236775855235389,0.689,0.0529891406411217,0.0433682569621966
mondrian_5,4,0.9,0.248953025943893,0.689,0.0529891406411217,0.0432500489583204
oracle,4,0.889,0.164182030191818,0.609,0.0529891406411217,0.043234338295973
cal_binning_10,5,0.854,0.322708805723176,0.331,0.0592470009141523,0.0347534306357066
cal_binning_5,5,0.874,0.373005804743547,0.331,0.0831838914780864,0.0414524202002554
conditional,5,0.84,0.303907148130951,0.331,0.0626212838783426,0.0541352212204393
isotonic,5,0.858,0.307308066351046,0.331,0.0488368712080503,0.0346182843954964
marginal,5,0.772,0.256975634821422,0.33,0.0626212838783426,0.0541429965207713
mondrian_10,5,0.826,0.304103354387023,0.33,0.0626212838783426,0.0542193167514957
mondrian_5,5,0.847,0.297614571242318,0.33,0.0626212838783426,0.054286153841582
oracle,5,0.902,0.287366886600799,0.331,0.0626212838783426,0.0542468483093429
cal_binning_10,marginal,0.8936,0.259704339705525,0.5512,0.0631523554525943,0.00874986902891299
cal_binning_5,marginal,0.898,0.309317490074641,0.6066,0.0840417769992201,0.00555352146054774
conditional,marginal,0.891,0.250614316445977,0.5112,0.0630389118526604,0.0401459648964762
isotonic,marginal,0.9128,0.252934859297733,0.5426,0.0522383760788571,0.0168548684085417
marginal,marginal,0.891,0.256944006438991,0.536,0.0630389118526604,0.040089990163238
mondrian_10,marginal,0.8976,0.247205689481834,0.5076,0.0630389118526604,0.0401883758171302
mondrian_5,marginal,0.8998,0.253201324453471,0.5076,0.0630389118526604,0.0400864552274839
oracle,marginal,0.9028,0.156694139063744,0.4486,0.0630389118526604,0.0401684217436722
