method,bin,coverage,width,risk,rmse,cal_error
cal_binning_1,1,0.8075,0.293476467477094,0.465,0.102084116161242,0.0899579980527038
cal_binning_2,1,0.81,0.282706284134386,0.465,0.102256421776232,0.0906654737419476
conditional,1,0.8725,0.854507757426769,0.4875,0.145925133865608,0.138379131722277
isotonic,1,0.825,0.287150681929182,0.465,0.101842839096197,0.0900539191953489
marginal,1,0.6375,0.313159624400773,0.465,0.145925133865608,0.138240564204598
mondrian_1,1,0.7025,0.306534578386435,0.465,0.145925133865608,0.138046422835511
mondrian_2,1,0.6675,0.316592032865212,0.465,0.145925133865608,0.138534302215711
oracle,1,0.8675,0.34554855757988,0.465,0.145925133865608,0.138245596879959
cal_binning_1,2,0.97,0.294295000825061,0.87,0.0586322810016191,0.0568996963918054
cal_binning_2,2,0.9725,0.283300789850275,0.87,0.0584455306475212,0.0574837480360692
conditional,2,0.905,0.844946980551548,0.84,0.0901806502992781,0.0893919674144277
isotonic,2,0.9775,0.283683358073534,0.87,0.0574034422798891,0.0556149569125011
marginal,2,0.9175,0.313649558217396,0.87,0.0901806502992781,0.0894336992641029
mondrian_1,2,0.9375,0.3078913113042,0.87,0.0901806502992781,0.08969853467893
mondrian_2,2,0.92,0.317059774614595,0.87,0.0901806502992781,0.0896060860304907
oracle,2,0.9,0.253786792997245,0.87,0.0901806502992781,0.0894070903531469
cal_binning_1,3,0.98,0.292895740098176,0.9625,0.0500892826599126,0.0479317291565052
cal_binning_2,3,0.985,0.284579072489963,0.9625,0.0498947125898239,0.0487280315552842
conditional,3,0.8875,0.793889256098201,0.89,0.0614624294718759,0.0600673573883436
isotonic,3,0.975,0.283228588927696,0.9625,0.0506521710322857,0.0490249119544978
marginal,3,0.9725,0.313649558217396,0.9625,0.0614624294718759,0.0601822204394924
mondrian_1,3,0.985,0.308172284190393,0.9625,0.0614624294718759,0.0599514058609358
mondrian_2,3,0.975,0.314412686774007,0.9625,0.0614624294718759,0.0603145287954083
oracle,3,0.8775,0.212459627302269,0.9275,0.0614624294718759,0.0603409607721999
cal_binning_1,4,0.9575,0.293392221605468,0.8225,0.0570517894087252,0.0529519771639159
cal_binning_2,4,0.945,0.28611372778324,0.8225,0.0583428197241286,0.0539425806434874
conditional,4,0.92,0.814697653277269,0.8025,0.0375224644500014,0.0327512424336849
isotonic,4,0.9425,0.280529445835552,0.8225,0.056944446254929,0.0529408361682412
marginal,4,0.9925,0.313649558217396,0.8225,0.0375224644500014,0.0326163982328386
mondrian_1,4,0.985,0.305614596938289,0.8225,0.0375224644500014,0.0326193387019388
mondrian_2,4,0.99,0.314307827008447,0.8225,0.0375224644500014,0.0324833753026253
oracle,4,0.905,0.189510140927899,0.805,0.0375224644500014,0.0326873771515499
cal_binning_1,5,0.81,0.31051408359803,0.445,0.085804643543634,0.0828852772476394
cal_binning_2,5,0.7925,0.295398312698082,0.445,0.0856323503147398,0.0824323374649076
conditional,5,0.89,0.82267046031737,0.465,0.0548110318523574,0.0463271463221179
isotonic,5,0.815,0.295367415605262,0.445,0.0851839684209389,0.0821255459558943
marginal,5,0.9325,0.313649558217396,0.445,0.0548110318523574,0.0460890781632914
mondrian_1,5,0.91,0.317584376418434,0.445,0.0548110318523574,0.0457085726984839
mondrian_2,5,0.925,0.312043525743384,0.445,0.0548110318523574,0.0461627360769453
oracle,5,0.8925,0.252607847688349,0.445,0.0548110318523574,0.0462316515360301
cal_binning_1,marginal,0.905,0.296914702720766,0.713,0.0734645369054308,0.010128038202497
cal_binning_2,marginal,0.901,0.286419637391189,0.713,0.0736186419670433,0.00898110065194149
conditional,marginal,0.895,0.826142421534231,0.697,0.0867369692458796,0.047819168897078
isotonic,marginal,0.907,0.285991898074245,0.713,0.0731187252709705,0.00878851724928745
marginal,marginal,0.8905,0.313551571454071,0.713,0.0867369692458796,0.0481473398190178
mondrian_1,marginal,0.904,0.30915942944755,0.713,0.0867369692458796,0.0479555189967936
mondrian_2,marginal,0.8955,0.314883169401129,0.713,0.0867369692458796,0.0480023424572772
oracle,marginal,0.8885,0.250782593299128,0.7025,0.0867369692458796,0.0478351125211201
