method,bin,coverage,width,risk,rmse,cal_error
cal_binning_1,1,0.76,0.39979418981154,0.3925,0.171362529875055,0.152306950213898
cal_binning_2,1,0.7525,0.40937890743531,0.3925,0.172151146626059,0.152120553497767
conditional,1,0.7275,0.526000577126465,0.3975,0.250859335272609,0.238574991561705
isotonic,1,0.7575,0.394643305080795,0.3925,0.171815353376981,0.152050096842166
marginal,1,0.7625,0.597559896486219,0.3925,0.250859335272609,0.237803939628624
mondrian_1,1,0.665,0.395793785131248,0.3925,0.250859335272609,0.239004482758755
mondrian_2,1,0.6725,0.447739377594715,0.3925,0.250859335272609,0.238670189689481
oracle,1,0.8825,0.084340131430286,0.475,0.250859335272609,0.238899436407844
cal_binning_1,2,0.9525,0.427156588038211,0.955,0.113492005336646,0.108933987448952
cal_binning_2,2,0.9575,0.420632112063058,0.955,0.116789587276777,0.11209012625465
conditional,2,0.925,0.493973413434781,0.9175,0.186325761003853,0.183871399291519
isotonic,2,0.95,0.420232617976986,0.955,0.110506275611501,0.105461052350162
marginal,2,0.86,0.598891675172858,0.955,0.186325761003853,0.184360309749134
mondrian_1,2,0.89,0.434444546468551,0.955,0.186325761003853,0.184442316290136
mondrian_2,2,0.9,0.473968831930018,0.955,0.186325761003853,0.184269452332721
oracle,2,0.915,0.106272491733866,0.3525,0.186325761003853,0.184114953926183
cal_binning_1,3,0.975,0.437142745753131,1,0.0887232536831917,0.0859691876538697
cal_binning_2,3,0.965,0.42784215300419,1,0.0902828767576695,0.0882723705536754
conditional,3,0.975,0.485481747751611,0.98,0.147793036676353,0.146124580968663
isotonic,3,0.9775,0.437774163211224,1,0.0840825809332957,0.081617584322938
marginal,3,0.9625,0.598891675172858,1,0.147793036676353,0.146090867101843
mondrian_1,3,0.97,0.444234197649951,1,0.147793036676353,0.146201985597008
mondrian_2,3,0.9825,0.479175476866924,1,0.147793036676353,0.145954793473441
oracle,3,0.9075,0.13653694070956,0.5325,0.147793036676353,0.146039346988238
cal_binning_1,4,0.9475,0.471247885888834,0.8525,0.0947389474037942,0.0904886355585702
cal_binning_2,4,0.9325,0.457877554107217,0.8525,0.0945277161453026,0.0896550209623447
conditional,4,0.975,0.471860122688037,0.8525,0.114778722140472,0.108637691044865
isotonic,4,0.9475,0.470865992398438,0.8525,0.0888664400267336,0.0846197769706143
marginal,4,0.9975,0.598891675172858,0.8525,0.114778722140472,0.108730466253487
mondrian_1,4,0.96,0.480647669267315,0.8525,0.114778722140472,0.108690933608324
mondrian_2,4,0.9825,0.50730549377948,0.8525,0.114778722140472,0.10891954095849
oracle,4,0.9025,0.189958157855676,0.8525,0.114778722140472,0.108637345722606
cal_binning_1,5,0.8925,0.507700858388296,0.4,0.124067957504301,0.111111220339681
cal_binning_2,5,0.9025,0.502208793558436,0.4,0.123820890760239,0.111148382121709
conditional,5,0.9275,0.431984987777855,0.4,0.0685177212890399,0.0393302606211153
isotonic,5,0.895,0.499040933616749,0.4,0.12314335167476,0.111617136887074
marginal,5,0.985,0.598891675172858,0.4,0.0685177212890399,0.038379675151519
mondrian_1,5,0.965,0.538259380825472,0.4,0.0685177212890399,0.0372677427686216
mondrian_2,5,0.975,0.565050964116781,0.4,0.0685177212890399,0.0384423048209297
oracle,5,0.92,0.337276336497664,0.4,0.0685177212890399,0.0387664342079739
cal_binning_1,marginal,0.9055,0.448608453576002,0.72,0.122053835580134,0.0140526272011991
cal_binning_2,marginal,0.902,0.443587904033642,0.72,0.12303976993224,0.0109479115008474
conditional,marginal,0.906,0.48186016975575,0.7095,0.165746378653617,0.114768478360723
isotonic,marginal,0.9055,0.444511402456838,0.72,0.119886247957557,0.0120299787278891
marginal,marginal,0.9135,0.59862531943553,0.72,0.165746378653617,0.114720912461225
mondrian_1,marginal,0.89,0.458675915868507,0.72,0.165746378653617,0.114577645171763
mondrian_2,marginal,0.9025,0.494648028857584,0.72,0.165746378653617,0.114592054715632
oracle,marginal,0.9055,0.17087681164541,0.5225,0.165746378653617,0.114661831491604
