method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.802,0.496214646599821,0.457,0.189085755716279,0.15785440921105
cal_binning_5,1,0.818,0.54869496575096,0.457,0.199321593660229,0.168390038037176
conditional,1,0.776,0.583798796039807,0.481,0.293394891234837,0.279737801855062
isotonic,1,0.822,0.48155651664621,0.485,0.18702233326104,0.161468190350933
marginal,1,0.7,0.667682811554822,0.457,0.293394891234837,0.279538224763427
mondrian_10,1,0.754,0.516637926699904,0.505,0.293394891234837,0.279838591137241
mondrian_5,1,0.718,0.540376963988484,0.55,0.293394891234837,0.279270894258111
oracle,1,0.893,0.0806526000417124,0.74,0.293394891234837,0.279787078697142
cal_binning_10,2,0.939,0.486898821768324,0.965,0.136798020900484,0.129715398166958
cal_binning_5,2,0.961,0.552008731355252,0.965,0.143464492349214,0.136112147754676
conditional,2,0.99,0.559264532916725,0.871,0.197130941286698,0.192358817681897
isotonic,2,0.952,0.512548508080182,0.882,0.121294288618758,0.113394976203439
marginal,2,0.915,0.670621646034738,0.965,0.197130941286698,0.192348940063133
mondrian_10,2,0.934,0.528555358627721,0.91,0.197130941286698,0.192287545635366
mondrian_5,2,0.948,0.553917118865362,0.841,0.197130941286698,0.192458408327132
oracle,2,0.893,0.0994493303897311,0.37,0.197130941286698,0.192359486461432
cal_binning_10,3,0.96,0.504400505030221,1,0.112731207682034,0.110046693846733
cal_binning_5,3,0.959,0.555150622594398,1,0.126828030209467,0.124714644449054
conditional,3,0.992,0.535408267596863,0.992,0.133622170128745,0.131980190719321
isotonic,3,0.949,0.518918678594977,0.907,0.109654503569849,0.106230400725697
marginal,3,0.992,0.670621646034738,1,0.133622170128745,0.131880213477071
mondrian_10,3,0.979,0.573301517793888,0.979,0.133622170128745,0.131850055058438
mondrian_5,3,0.981,0.598192720123309,0.965,0.133622170128745,0.131993978354636
oracle,3,0.91,0.137727928448821,0.741,0.133622170128745,0.131877168796049
cal_binning_10,4,0.966,0.564128984733057,0.854,0.137115757909636,0.131006478813903
cal_binning_5,4,0.958,0.587781899452147,0.854,0.1460276876213,0.141394667429622
conditional,4,0.984,0.515862917145439,0.854,0.0898729930145013,0.084649846727678
isotonic,4,0.959,0.563530539716897,0.845,0.135711214505412,0.129847313768592
marginal,4,0.996,0.670621646034738,0.854,0.0898729930145013,0.0848370377958346
mondrian_10,4,0.986,0.63374018499342,0.854,0.0898729930145013,0.0847219849514944
mondrian_5,4,0.982,0.659588839083069,0.854,0.0898729930145013,0.084536853242369
oracle,4,0.894,0.21236229097443,0.854,0.0898729930145013,0.0845618248972984
cal_binning_10,5,0.866,0.590599657849908,0.381,0.134658621565015,0.122384253418027
cal_binning_5,5,0.881,0.58712623091117,0.381,0.138447163090657,0.12288272657322
conditional,5,0.855,0.468590951629894,0.381,0.067382603665892,0.0457739113712964
isotonic,5,0.849,0.584462064376251,0.381,0.129639781296505,0.120355676338622
marginal,5,0.957,0.670621646034738,0.381,0.067382603665892,0.0460672165991211
mondrian_10,5,0.951,0.63752016132394,0.381,0.067382603665892,0.0460663773979308
mondrian_5,5,0.941,0.619463598364905,0.381,0.067382603665892,0.0458897183955446
oracle,5,0.895,0.452423901527474,0.381,0.067382603665892,0.0459758574377046
cal_binning_10,marginal,0.9066,0.528448523196266,0.7314,0.144297693780226,0.020200701541957
cal_binning_5,marginal,0.9154,0.566152490012785,0.7314,0.152897488554233,0.0289652120764352
conditional,marginal,0.9194,0.532585093065746,0.7158,0.176302935151617,0.114693724778636
isotonic,marginal,0.9062,0.532203261482903,0.7,0.139239200213319,0.0191234291089526
marginal,marginal,0.912,0.670033879138755,0.7314,0.176302935151617,0.114633450955291
mondrian_10,marginal,0.9208,0.577951029887775,0.7258,0.176302935151617,0.114551504358713
mondrian_5,marginal,0.914,0.594307848085026,0.7182,0.176302935151617,0.115001451272035
oracle,marginal,0.897,0.196523210276434,0.6172,0.176302935151617,0.115090852848199
