method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.769,0.461143072046398,0.464,0.193282573542997,0.174847854063694
cal_binning_5,1,0.756,0.4860604905063,0.464,0.197786193643807,0.179275432707198
conditional,1,0.711,0.585892525556119,0.48,0.289526525130273,0.279918247620929
isotonic,1,0.805,0.475081892497315,0.464,0.188642383402622,0.172116427037864
marginal,1,0.701,0.658789193648541,0.464,0.289526525130273,0.279868725546963
mondrian_10,1,0.663,0.53232274146159,0.464,0.289526525130273,0.279855237413374
mondrian_5,1,0.681,0.555848883502364,0.464,0.289526525130273,0.279873036489139
oracle,1,0.913,0.0903547654589092,0.795,0.289526525130273,0.279892501506397
cal_binning_10,2,0.979,0.477402484798433,0.949,0.123055546724258,0.118389586785646
cal_binning_5,2,0.994,0.49594215885403,0.949,0.119287992188266,0.114784678744894
conditional,2,0.946,0.545905792443091,0.94,0.205326329400707,0.202988846105984
isotonic,2,0.964,0.490970930330532,0.949,0.115868824249164,0.111123464161576
marginal,2,0.896,0.660189585085895,0.949,0.205326329400707,0.203025603772737
mondrian_10,2,0.917,0.539325774768156,0.949,0.205326329400707,0.203089498732479
mondrian_5,2,0.923,0.572092724827683,0.949,0.205326329400707,0.20303057203254
oracle,2,0.908,0.107713429911014,0.458,0.205326329400707,0.203040750567031
cal_binning_10,3,0.979,0.494630925785533,0.999,0.0947658309497232,0.0910362234250488
cal_binning_5,3,0.973,0.50654200452329,0.999,0.104179599584257,0.100990479516101
conditional,3,0.99,0.527576757737573,0.999,0.152181205023572,0.150471641087387
isotonic,3,0.989,0.505427154688517,0.999,0.0918181595478311,0.0880250035990795
marginal,3,0.984,0.660189585085895,0.999,0.152181205023572,0.150425797667351
mondrian_10,3,0.989,0.559272603846672,0.999,0.152181205023572,0.150495887225554
mondrian_5,3,0.989,0.596054838924342,0.999,0.152181205023572,0.15049483889951
oracle,3,0.898,0.132289297836338,0.999,0.152181205023572,0.150494599222928
cal_binning_10,4,0.959,0.517087567891339,0.86,0.100667825582227,0.0953864043572702
cal_binning_5,4,0.949,0.52389762206417,0.86,0.105010499019132,0.10022163986301
conditional,4,0.985,0.509070388264158,0.86,0.112041460880812,0.108756588981666
isotonic,4,0.967,0.520558599109538,0.86,0.10294310773662,0.0977425209003576
marginal,4,1,0.660189585085895,0.86,0.112041460880812,0.108717766018467
mondrian_10,4,0.993,0.610326346333891,0.86,0.112041460880812,0.108717022885745
mondrian_5,4,0.995,0.638246627850223,0.86,0.112041460880812,0.108765754574814
oracle,4,0.889,0.175275471905914,0.86,0.112041460880812,0.108690859433369
cal_binning_10,5,0.822,0.541401253204757,0.388,0.180063812253845,0.167366164951737
cal_binning_5,5,0.816,0.543688682721389,0.388,0.18151965773099,0.168775661189106
conditional,5,0.92,0.462587183157747,0.388,0.0777294819405796,0.0394934686882144
isotonic,5,0.818,0.528290442405303,0.388,0.172792732017794,0.160077984645269
marginal,5,0.992,0.660189585085895,0.388,0.0777294819405796,0.0400289218551544
mondrian_10,5,0.971,0.666409079501481,0.388,0.0777294819405796,0.0392375118934411
mondrian_5,5,0.981,0.675572979150865,0.388,0.0777294819405796,0.0395754550196747
oracle,5,0.912,0.300505754607785,0.388,0.0777294819405796,0.0400157682628288
cal_binning_10,marginal,0.9016,0.498333060745292,0.732,0.144248654150701,0.0140656330749815
cal_binning_5,marginal,0.8976,0.511226191733836,0.732,0.147091116994176,0.0114456004340357
conditional,marginal,0.9104,0.526206529431738,0.7334,0.183160471052387,0.122382506369686
isotonic,marginal,0.9086,0.504065803806241,0.732,0.139926208653063,0.0162768217700491
marginal,marginal,0.9146,0.659909506798424,0.732,0.183160471052387,0.122384310988976
mondrian_10,marginal,0.9066,0.581531309182358,0.732,0.183160471052387,0.122463468740447
mondrian_5,marginal,0.9138,0.607563210851095,0.732,0.183160471052387,0.122473336940489
oracle,marginal,0.904,0.161227743943992,0.7,0.183160471052387,0.122473111953945
