method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.99,0.371553090204903,0.32,0.0844515784545924,0.0185410200960931
binning2,1,0.97,0.625180419626239,0.36,0.130999214345706,0.0247751258315079
conditional,1,0.99,0.276587095980442,0.32,0.0447755916810307,0.0123583029145744
isotonic,1,0.99,0.391214250806719,0.33,0.074402816125432,0.0491929142745795
marginal,1,0.99,0.290296265253899,0.32,0.0447755916810307,0.0141624325259723
binning,2,0.91,0.181165160445279,0.64,0.0630751918728713,0.0530192339853922
binning2,2,0.99,0.253301608179479,0.41,0.0987427627216817,0.0914617624289789
conditional,2,0.99,0.283225413795898,0.76,0.0489372318255035,0.0392781981823641
isotonic,2,0.99,0.218691017201522,0.66,0.0482258555530381,0.039142407247456
marginal,2,1,0.290296265253899,0.76,0.0489372318255035,0.0395859596195144
binning,3,0.96,0.200846132538564,0.5,0.0448648034128938,0.0349299873105116
binning2,3,0.98,0.280957086120613,0.5,0.0703715742381387,0.0619023424071638
conditional,3,0.99,0.279215766898889,0.35,0.0387350479380262,0.0268440241673276
isotonic,3,0.98,0.211921424204631,0.42,0.0367966861012803,0.0237069838869452
marginal,3,1,0.290296265253899,0.35,0.0387350479380262,0.027770020390261
binning,4,0.99,0.333388441320413,0.89,0.0484797505782864,0.0330606628084118
binning2,4,0.99,0.455725671940987,0.89,0.0610074779156258,0.0469194784426469
conditional,4,0.98,0.300063629554791,0.79,0.0459787447444098,0.0376377603145521
isotonic,4,0.99,0.307733789923661,0.84,0.0371054094072027,0.0235836555919751
marginal,4,0.97,0.290296265253899,0.77,0.0459787447444098,0.0370120660732655
binning,5,0.94,0.518415819473477,0.28,0.0669285100558859,0.0489639127615697
binning2,5,0.98,0.576500837597186,0.28,0.0854835913691101,0.0572690014856577
conditional,5,0.84,0.315352963827227,0.28,0.0609519967005212,0.0285464539703337
isotonic,5,0.94,0.540219999752312,0.28,0.0661078000851796,0.0503294985794033
marginal,5,0.8,0.290296265253899,0.28,0.0609519967005212,0.0273205924511162
binning,marginal,0.958,0.321073728796527,0.526,0.0631713719860238,0.00639119573408827
binning2,marginal,0.982,0.438333124692901,0.488,0.0926201301714083,0.0137985938991454
conditional,marginal,0.958,0.290888974011449,0.5,0.0484340811370312,0.0202460407477264
isotonic,marginal,0.978,0.333956096377769,0.506,0.0547038589838627,0.0274272164478415
marginal,marginal,0.952,0.290296265253899,0.496,0.0484340811370312,0.0195127191464338
