method,bin,coverage,width,risk,rmse,cal_error
binning,1,1,0.241919554888568,0.63,0.0456094634349649,0.0207839809233394
binning2,1,0.97,0.29788009217025,0.63,0.0774913836886054,0.0326157557231203
conditional,1,0.82,0.0295761115508974,0.63,0.00941084896515529,0.00810669317995179
isotonic,1,1,0.234944439355185,0.7,0.0400430301788744,0.0335287667001929
marginal,1,1,0.192063035369707,0.7,0.00941084896515529,0.00914061655308041
binning,2,0.99,0.181394250892426,0.49,0.0373315136190725,0.0192355811157305
binning2,2,0.99,0.25395161464927,0.49,0.0678241988012121,0.0188296857519045
conditional,2,0.84,0.0713655143358,0.51,0.0237163341525629,0.0176465075676651
isotonic,2,0.99,0.158842912532837,0.54,0.0389039835752555,0.0283989697392496
marginal,2,1,0.192063035369708,0.5,0.0237163341525629,0.0175329816170072
binning,3,0.95,0.209114645111734,0.51,0.0594614111377266,0
binning2,3,0.89,0.284361512404316,0.51,0.0922653712104594,0.00264425016771499
conditional,3,0.92,0.131397219542532,0.55,0.0501290710345219,0
isotonic,3,0.95,0.18535777970702,0.54,0.0629765029492375,0.0275311097577061
marginal,3,0.98,0.192063035369708,0.56,0.0501290710345219,0
binning,4,0.8,0.172135381606779,0.61,0.066407289750158,0.0395495788099513
binning2,4,0.81,0.246386945528793,0.61,0.0933047157642618,0.057100826228106
conditional,4,0.93,0.17808989908249,0.67,0.0592917790105796,0.028168802880672
isotonic,4,0.87,0.158184541195384,0.68,0.0563907077077568,0.0166366406029698
marginal,4,0.88,0.192063035369707,0.65,0.0592917790105796,0.0224650319192701
binning,5,0.81,0.248500487987594,0.49,0.0771248259851165,0.0264191930041086
binning2,5,0.84,0.297832135871666,0.49,0.10012321282089,0.0383812284538256
conditional,5,0.91,0.290481086380306,0.66,0.0740168677309235,0.0515978793809191
isotonic,5,0.82,0.247626542212147,0.55,0.0694380026733838,0.0467274029211253
marginal,5,0.7,0.192063035369707,0.61,0.0740168677309235,0.0502944286152713
binning,marginal,0.91,0.21061286409742,0.546,0.0589367311506196,0.00427715593210103
binning2,marginal,0.9,0.276082460124859,0.546,0.0870038653658924,0.0176507040303181
conditional,marginal,0.884,0.140181966178405,0.604,0.0493111835461319,0.0173033619930838
isotonic,marginal,0.926,0.196991243000515,0.602,0.0549264094196878,0.0208359103923026
marginal,marginal,0.912,0.192063035369707,0.604,0.0493111835461319,0.0135957881644983
