method,bin,coverage,width,risk,rmse,cal_error
cal_binning_1,1,1,0.361322874794826,0.66,0.0325579372736431,0.0211506617675959
cal_binning_2,1,1,0.353182459857703,0.66,0.0460035550545318,0.0214180402372305
conditional,1,0.874,0.159264076328504,0.488,0.026713597244145,0.025428055979097
isotonic,1,0.994,0.369410417393207,0.684,0.0318018237170333,0.0257697442818112
marginal,1,0.994,0.301709539642661,0.664,0.026713597244145,0.0252170239913009
mondrian_1,1,1,0.354522519731678,0.672,0.026713597244145,0.0250654479461858
mondrian_2,1,0.998,0.324774753450339,0.672,0.026713597244145,0.0254519435797961
oracle,1,0.872,0.152841929742948,0.484,0.026713597244145,0.0252845852480731
cal_binning_1,2,0.978,0.324686157811739,0.59,0.0201522515484382,0.0144480019115011
cal_binning_2,2,0.988,0.317348739625666,0.59,0.0306994029281048,0.0151005982931518
conditional,2,0.894,0.206558375936707,0.46,0.00990013714238217,0
isotonic,2,0.988,0.342601014129037,0.634,0.0199613214683214,0.0225440632962206
marginal,2,0.986,0.307156117880089,0.574,0.00990013714238217,0.00228180484933144
mondrian_1,2,0.98,0.31867729105265,0.602,0.00990013714238217,0
mondrian_2,2,0.98,0.30522004409021,0.602,0.00990013714238217,0.00278438411833143
oracle,2,0.892,0.199054799037003,0.452,0.00990013714238217,0
cal_binning_1,3,0.954,0.310433628242433,0.552,0.0257686493040637,0
cal_binning_2,3,0.956,0.310077335871255,0.552,0.0402411204972642,0
conditional,3,0.938,0.272100555745226,0.512,0.01590771670944,0
isotonic,3,0.962,0.324472547184956,0.568,0.0229867504254286,0.0105098969057828
marginal,3,0.968,0.306523202052303,0.542,0.01590771670944,0
mondrian_1,3,0.958,0.30476211619649,0.556,0.01590771670944,0.002198505995741
mondrian_2,3,0.956,0.299468899071783,0.556,0.01590771670944,0.00526906746949023
oracle,3,0.934,0.262994174319078,0.478,0.01590771670944,0
cal_binning_1,4,0.888,0.322820854405909,0.566,0.0189880270470171,0.0174725603798323
cal_binning_2,4,0.868,0.316683976114439,0.566,0.0325873042741969,0.00142760497639826
conditional,4,0.922,0.351672058625227,0.61,0.0147947462413933,0.0187530117476087
isotonic,4,0.91,0.337879299890032,0.592,0.0211675289997941,0.0286453450442683
marginal,4,0.886,0.307015469918359,0.556,0.0147947462413933,0.0189528631239883
mondrian_1,4,0.89,0.317397708886288,0.572,0.0147947462413933,0.0176901158166398
mondrian_2,4,0.864,0.305854312770912,0.572,0.0147947462413933,0.018734620759188
oracle,4,0.906,0.329593178331371,0.596,0.0147947462413933,0.0220702809680406
cal_binning_1,5,0.836,0.362171985616877,0.616,0.0341863671479051,0.0181669924803383
cal_binning_2,5,0.812,0.355921296387294,0.616,0.0497918881036207,0.0122462663548401
conditional,5,0.888,0.418867840662776,0.706,0.0346355487160992,0.0274218381495764
isotonic,5,0.82,0.367290232697207,0.63,0.0323150969266993,0.0242978219976388
marginal,5,0.756,0.299764333129293,0.616,0.0346355487160992,0.0284954578174752
mondrian_1,5,0.834,0.356115673532482,0.622,0.0346355487160992,0.0262955517696087
mondrian_2,5,0.782,0.32421293965722,0.622,0.0346355487160992,0.0272716041423291
oracle,5,0.894,0.421684503352525,0.702,0.0346355487160992,0.0290660028459803
cal_binning_1,marginal,0.9312,0.336287100174357,0.5968,0.0270533128427978,0.0149780968678299
cal_binning_2,marginal,0.9248,0.330642761571272,0.5968,0.0405445254441469,0.0121124955407561
conditional,marginal,0.9032,0.281692581459688,0.5552,0.0222853772473372,0.0189408540806681
isotonic,marginal,0.9348,0.348330702258888,0.6216,0.0261936282899142,0.0213922015426424
marginal,marginal,0.918,0.304433732524541,0.5904,0.0222853772473372,0.0185665124945033
mondrian_1,marginal,0.9324,0.330295061879918,0.6048,0.0222853772473372,0.0189843394671394
mondrian_2,marginal,0.916,0.311906189808093,0.6048,0.0222853772473372,0.0191888671561422
oracle,marginal,0.8996,0.273233716956585,0.5424,0.0222853772473372,0.0192301870409941
