method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.716,0.434463173880689,0.458,0.198644988185894,0.177575482044564
cal_binning_5,1,0.724,0.462865872377751,0.458,0.208370640198222,0.187450219578381
conditional,1,0.752,0.581524070475539,0.466,0.285530876795496,0.27284184945638
isotonic,1,0.725,0.421171732281463,0.458,0.198026234821877,0.179080509049416
marginal,1,0.735,0.650652877234004,0.458,0.285530876795496,0.272875534984572
mondrian_10,1,0.629,0.466255489978409,0.458,0.285530876795496,0.272896551531963
mondrian_5,1,0.595,0.486807086868755,0.458,0.285530876795496,0.272734181506537
oracle,1,0.882,0.100058970765772,0.753,0.285530876795496,0.27290323512679
cal_binning_10,2,0.991,0.461511641554287,0.919,0.12379903054242,0.120323878732152
cal_binning_5,2,0.997,0.484935323652433,0.919,0.122254465802227,0.118506842359687
conditional,2,0.929,0.562620191274583,0.9,0.216083427939506,0.215352049937908
isotonic,2,0.975,0.453108504455487,0.919,0.118277901532153,0.115413776917146
marginal,2,0.844,0.653399585885986,0.919,0.216083427939506,0.215345950211393
mondrian_10,2,0.914,0.503227937846071,0.919,0.216083427939506,0.215298948857749
mondrian_5,2,0.915,0.537523162955378,0.919,0.216083427939506,0.215354120516614
oracle,2,0.881,0.110592984710808,0.41,0.216083427939506,0.215335592900481
cal_binning_10,3,0.984,0.48745295867819,1,0.0865300841935313,0.0816597758824662
cal_binning_5,3,0.98,0.506390214809674,1,0.0943706939237414,0.0901469128585831
conditional,3,0.984,0.530898672298187,1,0.165083480234284,0.161226131154979
isotonic,3,0.992,0.477627068603186,1,0.0836315835959978,0.0781464364661441
marginal,3,0.978,0.653399585885986,1,0.165083480234284,0.16120073871535
mondrian_10,3,0.995,0.542020339158273,1,0.165083480234284,0.161240769113848
mondrian_5,3,0.995,0.579412788248844,1,0.165083480234284,0.161192758230338
oracle,3,0.909,0.125971900434851,1,0.165083480234284,0.161250500837975
cal_binning_10,4,0.972,0.527901861884911,0.876,0.0772793709372626,0.0720836951097032
cal_binning_5,4,0.978,0.537742108907477,0.876,0.0740861810461732,0.0697908975600027
conditional,4,0.992,0.509038809980148,0.876,0.117196633652228,0.112191816365648
isotonic,4,0.978,0.514005123958422,0.876,0.0811215988700825,0.0765718449899497
marginal,4,0.999,0.653399585885986,0.876,0.117196633652228,0.11220300753226
mondrian_10,4,0.987,0.604455892404803,0.876,0.117196633652228,0.112254079729285
mondrian_5,4,0.994,0.631279902371465,0.876,0.117196633652228,0.112197452237705
oracle,4,0.887,0.151521932045814,0.876,0.117196633652228,0.112196675084055
cal_binning_10,5,0.863,0.553289919043943,0.371,0.182201204874654,0.166689218392975
cal_binning_5,5,0.852,0.552825797485184,0.371,0.189811034328754,0.174333339837411
conditional,5,0.955,0.44402934119713,0.371,0.0709939411934457,0.0307698537727458
isotonic,5,0.865,0.552628538132191,0.371,0.176708883418447,0.162241106041398
marginal,5,0.998,0.653399585885986,0.371,0.0709939411934457,0.0307340003206796
mondrian_10,5,0.978,0.678811817873939,0.371,0.0709939411934457,0.0308307684863946
mondrian_5,5,0.996,0.686419985204065,0.371,0.0709939411934457,0.0310173399804834
oracle,5,0.908,0.22638517977088,0.371,0.0709939411934457,0.0311508629479284
cal_binning_10,marginal,0.9052,0.492923911008404,0.7248,0.142437963335195,0.00841155904638119
cal_binning_5,marginal,0.9062,0.508951863446504,0.7248,0.147504099571375,0.0071509594850888
conditional,marginal,0.9224,0.525622217045117,0.7226,0.186680301856167,0.12589088504376
isotonic,marginal,0.907,0.48370819348615,0.7248,0.140003597614908,0.0155013508804058
marginal,marginal,0.9108,0.65285024415559,0.7248,0.186680301856167,0.125873857027428
mondrian_10,marginal,0.9006,0.558954295452299,0.7248,0.186680301856167,0.125813997761601
mondrian_5,marginal,0.899,0.584288585129701,0.7248,0.186680301856167,0.125910675880754
oracle,marginal,0.8934,0.142906193545625,0.682,0.186680301856167,0.125905968289161
