method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.925,0.269617107526255,0.59,0.082491908895382,0.0353942965622402
binning2,1,0.925,0.302176212616662,0.6,0.0933679591835828,0.0311904469595949
conditional,1,0.815,0.176213367608771,0.49,0.0665868852742653,0.0284105089820434
isotonic,1,0.935,0.274881820855611,0.62,0.0742443386317236,0.0356929261527448
marginal,1,0.96,0.293172063811725,0.675,0.0665868852742653,0.0276218215174343
binning,2,0.92,0.257712505282695,0.56,0.0752308489885819,0.0331365522152393
binning2,2,0.92,0.285712502021297,0.58,0.087821665473817,0.0342163975146382
conditional,2,0.95,0.214853096735549,0.535,0.0623121075367947,0.0379593605982553
isotonic,2,0.955,0.254383633908353,0.58,0.0631836776485231,0.039751334445353
marginal,2,0.965,0.293172063811725,0.64,0.0623121075367947,0.0396175386632723
binning,3,0.965,0.260139466451353,0.58,0.0655420616361773,0.0107505852546038
binning2,3,0.935,0.284303430115086,0.565,0.0785348883209106,0.012027027381357
conditional,3,0.935,0.249090705098933,0.565,0.0728701350484767,0.0478388085671869
isotonic,3,0.965,0.256094768320543,0.6,0.0598429151499502,0.0196435223537415
marginal,3,0.945,0.293172063811725,0.625,0.0728701350484767,0.0466407662261414
binning,4,0.955,0.256025943953395,0.59,0.0654396525174604,0.018916033673968
binning2,4,0.945,0.280959383976289,0.555,0.077436947404225,0.011857757547503
conditional,4,0.955,0.292014430651897,0.67,0.0829218985337589,0.0602657504327087
isotonic,4,0.96,0.254286930589317,0.61,0.0613182266893695,0.0190636042639316
marginal,4,0.925,0.293172063811725,0.665,0.0829218985337589,0.0595569164164146
binning,5,0.78,0.246740810674021,0.52,0.0924015927928438,0.0585808994002098
binning2,5,0.795,0.276856158940983,0.64,0.100060487695284,0.0596077094805608
conditional,5,0.86,0.37072234996257,0.735,0.128969624385865,0.108174505830257
isotonic,5,0.77,0.247865097381263,0.555,0.0922148788996619,0.0642772188958109
marginal,5,0.72,0.293172063811725,0.72,0.128969624385865,0.108737514495919
binning,marginal,0.909,0.258047166777544,0.568,0.076916526167694,0.00727255170218424
binning2,marginal,0.904,0.286001537534063,0.588,0.0878709638428792,0.00967778180119582
conditional,marginal,0.903,0.260578790011544,0.599,0.0861810581147186,0.0521172354514842
isotonic,marginal,0.917,0.257502450211017,0.593,0.0712026435583776,0.0156961196626663
marginal,marginal,0.903,0.293172063811725,0.665,0.0861810581147186,0.0520727630929006
