method,bin,coverage,width,risk,rmse,cal_error
cal_binning_1,1,0.8075,0.295518347842588,0.5025,0.110637166483865,0.100975354873476
cal_binning_2,1,0.78,0.281040216801741,0.5025,0.108727496270606,0.09835491107329
conditional,1,0.8125,0.889143708106274,0.515,0.182748355350929,0.177438429204835
isotonic,1,0.7975,0.28808885014342,0.5025,0.108985991423897,0.0988717705368416
marginal,1,0.6075,0.376083318894296,0.5025,0.182748355350929,0.177776661068152
mondrian_1,1,0.6625,0.31392525740205,0.5025,0.182748355350929,0.177388936756345
mondrian_2,1,0.6325,0.345094137501671,0.5025,0.182748355350929,0.177499619744697
oracle,1,0.915,0.0989511962980376,0.5025,0.182748355350929,0.177331940429437
cal_binning_1,2,0.9875,0.302385646158461,0.88,0.0543158559985592,0.0537686436492229
cal_binning_2,2,0.99,0.287155224652062,0.88,0.0532517900484305,0.0527671615320819
conditional,2,0.8825,0.875423857797488,0.87,0.117318256577003,0.118697141944467
isotonic,2,0.99,0.290044348604914,0.88,0.0537860548282762,0.0530560639061712
marginal,2,0.9125,0.373487952150169,0.88,0.117318256577003,0.118523769881947
mondrian_1,2,0.9375,0.314303868219726,0.88,0.117318256577003,0.118572256172402
mondrian_2,2,0.915,0.336120950398303,0.88,0.117318256577003,0.11860098132793
oracle,2,0.885,0.117390246471658,0.88,0.117318256577003,0.118589176015138
cal_binning_1,3,0.97,0.307061916288349,0.9775,0.0458513287246092,0.0454370411501157
cal_binning_2,3,0.9725,0.292433997786264,0.9775,0.0458257186205575,0.0459789527683771
conditional,3,0.915,0.864082631266066,0.9425,0.0836929310877875,0.0835757839530257
isotonic,3,0.96,0.296156328615805,0.9775,0.0451223194692521,0.0447298150458685
marginal,3,0.985,0.370557961576833,0.9775,0.0836929310877875,0.0837526597278646
mondrian_1,3,0.9775,0.316288625351899,0.9775,0.0836929310877875,0.0837722354759932
mondrian_2,3,0.9775,0.329760358571013,0.9775,0.0836929310877875,0.0837341008480826
oracle,3,0.9075,0.133688087398562,0.6475,0.0836929310877875,0.0837373801468437
cal_binning_1,4,0.955,0.311026143817382,0.8175,0.0567776722305326,0.0542866654978691
cal_binning_2,4,0.9525,0.295695480052089,0.8175,0.0581232591538253,0.0551697625374464
conditional,4,0.93,0.908911782239728,0.7975,0.0509622969392181,0.0480296630649194
isotonic,4,0.95,0.301280085608701,0.8175,0.0562417631568456,0.0531979911284624
marginal,4,0.9975,0.367389152402045,0.8175,0.0509622969392181,0.0481095168197038
mondrian_1,4,0.97,0.321325445560284,0.8175,0.0509622969392181,0.0480543687802864
mondrian_2,4,0.9925,0.330424929406547,0.8175,0.0509622969392181,0.0479834321450021
oracle,4,0.905,0.154835537233435,0.74,0.0509622969392181,0.0479340650147353
cal_binning_1,5,0.7975,0.317488756734798,0.4475,0.104071388141839,0.0942645873634593
cal_binning_2,5,0.795,0.308534104223474,0.4475,0.103805558442957,0.094598614822894
conditional,5,0.925,0.892019357747565,0.445,0.0454478356602206,0.0242345674537157
isotonic,5,0.79,0.310768311152542,0.4475,0.103029393316009,0.0937471657949698
marginal,5,0.9775,0.357854748417241,0.4475,0.0454478356602206,0.025181789448308
mondrian_1,5,0.91,0.324075550594176,0.4475,0.0454478356602206,0.0227841209389346
mondrian_2,5,0.945,0.32766761089586,0.4475,0.0454478356602206,0.0253399759019605
oracle,5,0.9,0.202930573551689,0.4475,0.0454478356602206,0.0240013955033588
cal_binning_1,marginal,0.9035,0.306696162168316,0.725,0.0791804231612006,0.0123083080697983
cal_binning_2,marginal,0.898,0.292971804703126,0.725,0.0786273811010441,0.00913866620152308
conditional,marginal,0.893,0.885916267431424,0.714,0.108469076606489,0.0769458545221951
isotonic,marginal,0.8975,0.297267584825076,0.725,0.0782113822214913,0.00472746565472948
marginal,marginal,0.896,0.369074626688117,0.725,0.108469076606489,0.0768865247924148
mondrian_1,marginal,0.8915,0.317983749425627,0.725,0.108469076606489,0.0768735072116122
mondrian_2,marginal,0.8925,0.333813597354679,0.725,0.108469076606489,0.0770777168587666
oracle,marginal,0.9025,0.141559128190676,0.6435,0.108469076606489,0.0769812537136035
