method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.85,0.110962396206696,0.39,0.0453375968529072,0.024046976121711
binning2,1,0.78,0.153221031031283,0.39,0.0652146838846808,0.021115460705658
conditional,1,0.99,0.107244429076162,0.39,0.0173371984553225,0.00860995904282865
isotonic,1,0.84,0.0805868136550025,0.39,0.0360723063223667,0.0209612934939402
marginal,1,1,0.099405261585912,0.39,0.0173371984553225,0.0084599964166954
binning,2,0.82,0.0733885260797404,0.63,0.0178352536459128,0.0139350238141963
binning2,2,0.83,0.100062624171412,0.89,0.0276108281365972,0.0220106281961197
conditional,2,0.91,0.105544828727356,0.73,0.0132489380697888,0.013013966075856
isotonic,2,0.85,0.0753044521106164,0.62,0.0151402605789191,0.0127799915630315
marginal,2,0.94,0.099405261585912,0.67,0.0132489380697888,0.0125212947700615
binning,3,0.72,0.0841548316136163,0.36,0.0142503927494256,0.00212279549700584
binning2,3,0.76,0.1000178265905,0.46,0.0227737054109428,0.017427559299542
conditional,3,0.88,0.105703245574779,0.36,0.0126397880664286,0
isotonic,3,0.83,0.0890001755126703,0.36,0.0139291515968257,0
marginal,3,0.89,0.099405261585912,0.36,0.0126397880664286,0
binning,4,0.67,0.111893868787434,0.63,0.0168692162123247,0
binning2,4,0.76,0.129211578791394,0.79,0.0250392141039526,0.0108339487528384
conditional,4,0.67,0.107205920080566,0.62,0.011417203990571,0
isotonic,4,0.74,0.121791186171383,0.55,0.0171427068209497,0.0127000628971387
marginal,4,0.67,0.099405261585912,0.62,0.011417203990571,0
binning,5,0.63,0.195899433430003,0.48,0.0308052848136072,0.0220006135241889
binning2,5,0.72,0.228667865587287,0.48,0.0477824656372714,0.0292735924957209
conditional,5,0.41,0.103673408922619,0.48,0.0124445002098686,0
isotonic,5,0.7,0.201923870482852,0.48,0.028840962320223,0.0174030294633699
marginal,5,0.4,0.099405261585912,0.48,0.0124445002098686,0
binning,marginal,0.738,0.115259811223498,0.498,0.0276050853379926,0.012960737563171
binning2,marginal,0.77,0.142236185234375,0.602,0.0410952083533654,0.0100820540778251
conditional,marginal,0.772,0.105874366476296,0.516,0.0135727313762286,0
isotonic,marginal,0.792,0.113721299586505,0.48,0.0238752321149979,0.0107586701388219
marginal,marginal,0.78,0.099405261585912,0.504,0.0135727313762286,0
