method,bin,coverage,width,risk,rmse,cal_error
cal_binning_1,1,0.87,0.305085229429301,0.445,0.0940531359080699,0.0502518761158727
cal_binning_2,1,0.895,0.356854192959293,0.445,0.0986294719990424,0.0475327909925013
conditional,1,0.7925,0.313816781048212,0.445,0.129410282897778,0.108360752315059
isotonic,1,0.8825,0.316094499454963,0.445,0.0925733191758589,0.0566403733784837
marginal,1,0.7875,0.340434801366519,0.445,0.129410282897778,0.108371655461421
mondrian_1,1,0.8525,0.328454706794848,0.445,0.129410282897778,0.108597933683911
mondrian_2,1,0.8625,0.350425590254445,0.445,0.129410282897778,0.10764953770873
oracle,1,0.88,0.28214599701597,0.445,0.129410282897778,0.108480253880926
cal_binning_1,2,0.9225,0.246320115730911,0.81,0.0615584393780094,0.0495047273966916
cal_binning_2,2,0.915,0.245054956728034,0.81,0.0672712570640225,0.0549178541045827
conditional,2,0.9775,0.312217071260005,0.905,0.0606671178823859,0.0478241951871855
isotonic,2,0.9125,0.249493764986303,0.79,0.0591397916489468,0.0456221921092036
marginal,2,0.99,0.340492045170066,0.9125,0.0606671178823859,0.0477148881777396
mondrian_1,2,0.91,0.248694490553023,0.81,0.0606671178823859,0.0480305169178254
mondrian_2,2,0.9,0.254213714995781,0.7575,0.0606671178823859,0.0477672623529854
oracle,2,0.8875,0.181940476739395,0.6225,0.0606671178823859,0.0475855113880304
cal_binning_1,3,0.9125,0.23575963268339,0.4625,0.0491716757376488,0.0348490960946547
cal_binning_2,3,0.9175,0.245231988127465,0.4625,0.0508595984592666,0.0373830891881336
conditional,3,0.9875,0.315444165307467,0.6,0.0370160456930968,0.0191519417590256
isotonic,3,0.8925,0.235747027092174,0.47,0.0501109937836552,0.0375553516217064
marginal,3,0.9975,0.340492045170066,0.6325,0.0370160456930968,0.0193758725109265
mondrian_1,3,0.9225,0.221408374996491,0.3675,0.0370160456930968,0.0191803175911103
mondrian_2,3,0.93,0.226196526654128,0.325,0.0370160456930968,0.0182726181184982
oracle,3,0.895,0.180644428788171,0.29,0.0370160456930968,0.0193087164998739
cal_binning_1,4,0.925,0.284816858386397,0.8075,0.0422263213505515,0.0297497960522426
cal_binning_2,4,0.9425,0.301444843783677,0.8075,0.0419808514182914,0.0290671521918958
conditional,4,0.955,0.32540368604361,0.795,0.0465956333808366,0.0355541526372101
isotonic,4,0.94,0.296193901881053,0.815,0.0415062018020852,0.0269575539194238
marginal,4,0.9725,0.340492045170066,0.8175,0.0465956333808366,0.0352371934108703
mondrian_1,4,0.91,0.282900776899402,0.6475,0.0465956333808366,0.0361398606782792
mondrian_2,4,0.935,0.287576628438632,0.68,0.0465956333808366,0.035921658209792
oracle,4,0.925,0.264076096060161,0.6225,0.0465956333808366,0.0357533452834945
cal_binning_1,5,0.9175,0.567885302383428,0.39,0.0544967912542399,0.0376438909334002
cal_binning_2,5,0.87,0.520304797242684,0.39,0.0645573449627775,0.0363283999384953
conditional,5,0.745,0.358259341087668,0.39,0.0586032067706784,0.0501961895289632
isotonic,5,0.92,0.553933827226502,0.39,0.0542520337773477,0.0404843868927101
marginal,5,0.7025,0.340492045170066,0.39,0.0586032067706784,0.0504542297816742
mondrian_1,5,0.9025,0.550860475585199,0.39,0.0586032067706784,0.050940604845167
mondrian_2,5,0.875,0.533809828486477,0.39,0.0586032067706784,0.0495262423805763
oracle,5,0.915,0.517780266189005,0.39,0.0586032067706784,0.0525681531452829
cal_binning_1,marginal,0.9095,0.327973427722685,0.583,0.0629384620076701,0.0152757456249497
cal_binning_2,marginal,0.908,0.333778155768231,0.583,0.0674832367387179,0.00716481448506923
conditional,marginal,0.8915,0.325028208949392,0.627,0.0740313407207512,0.0470975198311476
isotonic,marginal,0.9095,0.330292604128199,0.582,0.06203949392849,0.0197771357061048
marginal,marginal,0.89,0.340480596409357,0.6395,0.0740313407207512,0.0473948924327994
mondrian_1,marginal,0.8995,0.326463764965793,0.532,0.0740313407207512,0.0473022161913582
mondrian_2,marginal,0.9005,0.330444457765893,0.5195,0.0740313407207512,0.0475205376191293
oracle,marginal,0.9005,0.28531745295854,0.474,0.0740313407207512,0.0469283729338294
