method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.835,0.373531509594839,0.405,0.126196479627179,0.0624050004944486
binning2,1,0.84,0.429670006412938,0.37,0.14290090046226,0.0770912983862544
conditional,1,0.835,0.29147066937477,0.37,0.141239805259189,0.124148550878398
isotonic,1,0.88,0.313036451839841,0.37,0.102728095739104,0.0636921414926815
marginal,1,0.67,0.282550997663262,0.375,0.141239805259189,0.123882132416611
binning,2,0.93,0.258084618831414,0.64,0.0695992479750283,0.0584489342260716
binning2,2,0.93,0.301401368401118,0.865,0.0891760781980263,0.077661063088329
conditional,2,0.985,0.272784304233764,0.69,0.0590777239473955,0.0445849953807278
isotonic,2,0.925,0.262385942636841,0.765,0.0668324765061653,0.0542026882384245
marginal,2,0.975,0.282550997663262,0.72,0.0590777239473955,0.0446055692932025
binning,3,0.94,0.175495665219787,0.265,0.0446099193835937,0.0343761377010037
binning2,3,0.95,0.214234542349873,0.305,0.064612505631424,0.0544482154071025
conditional,3,0.99,0.280229723667351,0.27,0.0305449825371739,0.012332878181564
isotonic,3,0.96,0.165360892943129,0.27,0.0381450681059721,0.0265553267585655
marginal,3,1,0.282550997663262,0.265,0.0305449825371739,0.0115263809640666
binning,4,0.93,0.196210931880272,0.63,0.0373962813325418,0.0227060367083529
binning2,4,0.955,0.261953958338628,0.35,0.0631060780935521,0.0441945219789192
conditional,4,0.98,0.243488141965227,0.49,0.0306382297779113,0.0204443439329993
isotonic,4,0.945,0.176893547712746,0.4,0.0341799506806909,0.0265855893922098
marginal,4,0.995,0.282550997663262,0.535,0.0306382297779113,0.0220108889175723
binning,5,0.85,0.33776542933495,0.32,0.0541640525134257,0.0260859413156607
binning2,5,0.815,0.353733173519804,0.32,0.0805164527175581,0.0434289627458868
conditional,5,0.76,0.233321077124604,0.32,0.0406278037089166,0.0265170511397566
isotonic,5,0.875,0.330870548978765,0.32,0.0456554144690279,0.0219665774708383
marginal,5,0.825,0.282550997663262,0.32,0.0406278037089166,0.0271457941065731
binning,marginal,0.897,0.268217630972253,0.452,0.0736096164078756,0.00849826820525925
binning2,marginal,0.898,0.312198609804472,0.442,0.0927503017895299,0.0128024574993449
conditional,marginal,0.91,0.264258783273143,0.428,0.0734318399235495,0.0467232084373468
isotonic,marginal,0.917,0.249709476822264,0.425,0.0628130140811791,0.0173395900387445
marginal,marginal,0.893,0.282550997663262,0.443,0.0734318399235495,0.0462869319601871
