method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.91,0.178514001230026,0.455,0.0663299837713198,0
binning2,1,0.89,0.263380331909764,0.455,0.0922180232026493,0.00752211984028887
conditional,1,0.965,0.165154732362563,0.445,0.0265338428561161,0.0228260287456778
isotonic,1,0.895,0.0977964607437603,0.445,0.0365619560703473,0.0244674193700563
marginal,1,0.96,0.173160613609823,0.445,0.0265338428561161,0.023069302188139
binning,2,0.9,0.0895606878801125,0.355,0.0183884279177174,0.00846597883951017
binning2,2,0.925,0.126541926543535,0.355,0.0379548168435261,0.0253298869863479
conditional,2,0.99,0.170454085929964,0.68,0.00965463008425279,0.0103344403596278
isotonic,2,0.91,0.0803747493602027,0.425,0.00946320933299272,0.00498497878955361
marginal,2,1,0.173160613609823,0.69,0.00965463008425279,0.00973164293946737
binning,3,0.875,0.110352906685582,0.345,0.0172658991881339,0.012110495064078
binning2,3,0.935,0.142258337864486,0.345,0.0257625032016091,0.0128711018527526
conditional,3,1,0.175958336302113,0.35,0.0103599486250058,0.00518663333213364
isotonic,3,0.935,0.117188240210224,0.345,0.0101006084680055,0.00532071333954999
marginal,3,0.995,0.173160613609823,0.33,0.0103599486250058,0.0062571725166605
binning,4,0.935,0.173744427444032,0.835,0.0170597014747679,0.0112187810086026
binning2,4,0.93,0.190666100815378,0.835,0.034917957445577,0.0186527071427415
conditional,4,0.945,0.179210092881137,0.78,0.0118622315638253,0.0126755436695113
isotonic,4,0.925,0.17777465734811,0.72,0.0115647959182419,0.0125038500825557
marginal,4,0.925,0.173160613609823,0.755,0.0118622315638253,0.011695846514158
binning,5,0.92,0.328050067130132,0.39,0.0419404885176808,0
binning2,5,0.885,0.370517540043798,0.39,0.070396940817546,0.016547534501741
conditional,5,0.68,0.184913706287377,0.39,0.0225210712742618,0.0133108625476382
isotonic,5,0.93,0.326782572731235,0.39,0.0211427293954337,0.0266580150999901
marginal,5,0.665,0.173160613609823,0.39,0.0225210712742618,0.0171057606928486
binning,marginal,0.908,0.176044418073977,0.476,0.0376455848531361,0
binning2,marginal,0.913,0.218672847435392,0.476,0.0579369165988027,0
conditional,marginal,0.916,0.175138190752631,0.529,0.0176209898887876,0.0136706239233909
isotonic,marginal,0.919,0.159983336078707,0.465,0.0205383093993304,0.0139997834809013
marginal,marginal,0.909,0.173160613609823,0.522,0.0176209898887876,0.0143129675709184
