method,bin,coverage,width,risk,rmse,cal_error
cal_binning_1,1,0.94,0.13997952887516,0.426,0.0360254055664338,0.0146221398007389
cal_binning_2,1,0.93,0.204592032085901,0.426,0.0586260154890009,0.010278859620887
conditional,1,0.928,0.136820713133093,0.426,0.0256397972703239,0.0155915698023357
isotonic,1,0.94,0.130400381884082,0.426,0.0303318776824742,0.0219561589751818
marginal,1,0.976,0.205051478915028,0.426,0.0256397972703239,0.0154801925037291
mondrian_1,1,0.906,0.111625055604533,0.426,0.0256397972703239,0.0156270195712275
mondrian_2,1,0.914,0.130272811887012,0.426,0.0256397972703239,0.0157173351689248
oracle,1,0.93,0.101136997683937,0.426,0.0256397972703239,0.0158079035297088
cal_binning_1,2,0.926,0.127321514821007,0.596,0.0138053022622867,0.00998881939121094
cal_binning_2,2,0.88,0.125437535969096,0.596,0.0202023637769255,0.00881233475018057
conditional,2,0.972,0.154163534368936,0.774,0.00829641413284533,0.00657154813124381
isotonic,2,0.912,0.119356892077815,0.596,0.0164656963149361,0.0157637963543236
marginal,2,0.998,0.208788467728191,0.91,0.00829641413284533,0.00678006014964083
mondrian_1,2,0.912,0.111999085940681,0.596,0.00829641413284533,0.00558654788145034
mondrian_2,2,0.92,0.109302972974685,0.596,0.00829641413284533,0.00666875861219945
oracle,2,0.924,0.109160351337527,0.654,0.00829641413284533,0.00604654947261926
cal_binning_1,3,0.872,0.142459727171309,0.42,0.0124253681637988,0.00260243640568468
cal_binning_2,3,0.9,0.154591639642733,0.33,0.0178246812523247,0.00782821886607225
conditional,3,0.932,0.173372120873323,0.332,0.00875653333915682,0
isotonic,3,0.848,0.136124102200066,0.346,0.0114521218318203,0.00517664652850247
marginal,3,0.98,0.208788467728191,0.372,0.00875653333915682,0
mondrian_1,3,0.866,0.137838315980187,0.33,0.00875653333915682,0
mondrian_2,3,0.896,0.145047374452492,0.328,0.00875653333915682,0
oracle,3,0.882,0.139375303642522,0.324,0.00875653333915682,0
cal_binning_1,4,0.93,0.220852820159411,0.846,0.0131945361935575,0.0105030567912904
cal_binning_2,4,0.916,0.214595053314476,0.818,0.0186415916077909,0.0151669038221033
conditional,4,0.926,0.204221621996266,0.8,0.00959629770740093,0.00774176981168457
isotonic,4,0.93,0.214638883842607,0.832,0.0150059614972494,0.0107463876614269
marginal,4,0.93,0.208788467728191,0.832,0.00959629770740093,0.00573345712960179
mondrian_1,4,0.92,0.207116337790779,0.818,0.00959629770740093,0.00861951882073321
mondrian_2,4,0.914,0.195463487533456,0.802,0.00959629770740093,0.00774267914549046
oracle,4,0.904,0.190990031645678,0.758,0.00959629770740093,0.008657354777479
cal_binning_1,5,0.88,0.331226373464123,0.398,0.0276306688980098,0.0143444129371928
cal_binning_2,5,0.87,0.342636852699083,0.398,0.0360894563400346,0.00808305873968816
conditional,5,0.824,0.272799775769882,0.398,0.0162356534901066,0.0128567024019435
isotonic,5,0.88,0.328133128611992,0.398,0.0233771801044015,0.0100795343598381
marginal,5,0.702,0.208788467728191,0.398,0.0162356534901066,0
mondrian_1,5,0.9,0.331010984965224,0.398,0.0162356534901066,0.0101271895172755
mondrian_2,5,0.88,0.317594697179576,0.398,0.0162356534901066,0
oracle,5,0.902,0.331726757508079,0.398,0.0162356534901066,0.00764255824139602
cal_binning_1,marginal,0.9096,0.192367992898202,0.5372,0.0227171989466115,0.0107197909731183
cal_binning_2,marginal,0.8992,0.208370622742258,0.5136,0.034096399377734,0.00339642965290065
conditional,marginal,0.9164,0.1882755532283,0.546,0.0152222990483476,0.0083505617107676
isotonic,marginal,0.902,0.185730677723312,0.5196,0.0204644300356579,0.0127617925416641
marginal,marginal,0.9172,0.208041069965558,0.5876,0.0152222990483476,0.00543347005116195
mondrian_1,marginal,0.9008,0.179917956056281,0.5136,0.0152222990483476,0.00715108623059942
mondrian_2,marginal,0.9048,0.179536268805444,0.51,0.0152222990483476,0.00836392520350624
oracle,marginal,0.9084,0.174477888363549,0.512,0.0152222990483476,0.00862477163911168
