method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.96,0.156829008807226,0.56,0.0590596051802413,0.0321531649098397
binning2,1,0.91,0.228142241204659,0.67,0.0950354807488881,0.00694801177929424
conditional,1,0.86,0.0314749067568927,0.53,0.0113088174075692,0.00820545221213225
isotonic,1,0.97,0.126994478436806,0.57,0.0437518125814965,0.0309478502192214
marginal,1,0.99,0.0818440362139805,0.56,0.0113088174075692,0.00793529385387759
binning,2,0.95,0.140667998495221,0.44,0.0382375674403258,0.00150317148888545
binning2,2,0.94,0.227665367687062,0.47,0.0763232178839031,0.00964149919208106
conditional,2,0.93,0.0332483711516748,0.41,0.0101511802755525,0.0104448941371131
isotonic,2,0.99,0.114028193267973,0.48,0.0293939129469166,0.0230318035954568
marginal,2,0.99,0.0818440362139805,0.47,0.0101511802755525,0.0105542167146653
binning,3,0.92,0.164232090762222,0.34,0.0466822886662316,0.0148580763811882
binning2,3,0.96,0.251196313657917,0.36,0.0815052462269098,0.0187971578984071
conditional,3,0.93,0.0506015535210858,0.35,0.0162127410184264,0.012126362542383
isotonic,3,0.99,0.127279884763106,0.36,0.0356947796430968,0.0283638300459191
marginal,3,0.96,0.0818440362139805,0.36,0.0162127410184264,0.0138121969121037
binning,4,0.86,0.112874908934954,0.42,0.0292720545069569,0
binning2,4,0.89,0.185869940363133,0.5,0.0595690718022304,0.0357452537094234
conditional,4,0.99,0.0741961123825368,0.42,0.00950852881973532,0.00831012097011332
isotonic,4,0.94,0.0957608559647928,0.46,0.0220588498521966,0.0174474201134352
marginal,4,0.97,0.0818440362139805,0.43,0.00950852881973532,0.00711988174628188
binning,5,0.8,0.164028097253909,0.45,0.0335453604803547,0.00377537111225963
binning2,5,0.79,0.236666274866325,0.6,0.0667116321342915,0.0117474608515454
conditional,5,0.78,0.134580370167849,0.46,0.0126448912590255,0
isotonic,5,0.78,0.147455700974353,0.46,0.0296716189101657,0.00291714571157306
marginal,5,0.64,0.0818440362139805,0.45,0.0126448912590255,0
binning,marginal,0.898,0.147726420850706,0.442,0.0426884738254532,0.014451385760542
binning2,marginal,0.898,0.225908027555819,0.52,0.0768101523618272,0
conditional,marginal,0.898,0.0648202627960079,0.434,0.0121991325818141,0.00684102873601992
isotonic,marginal,0.934,0.122303822681406,0.466,0.0329221455613646,0.0248667330699665
marginal,marginal,0.91,0.0818440362139805,0.454,0.0121991325818141,0
