method,bin,coverage,width,risk,rmse,cal_error
binning,1,0.94,0.395870646313986,0.79,0.110804193440338,0.0471840259538665
binning2,1,0.91,0.398106564323964,0.79,0.11378558291434,0.0442123557292119
conditional,1,0.88,0.298160698400933,0.79,0.0981326322614602,0.0274262802083186
isotonic,1,0.92,0.403605338572663,0.79,0.113142665571016,0.0494366309006183
marginal,1,0.99,0.503890149904208,0.79,0.0981326322614602,0.0316980344515955
binning,2,0.9,0.402824011182078,0.69,0.114049361631818,0.0437327620087158
binning2,2,0.89,0.403253310451088,0.69,0.115940187957118,0.0469280281841864
conditional,2,0.93,0.379251192176145,0.69,0.105940078804088,0.034803316487691
isotonic,2,0.92,0.40787990786194,0.69,0.110942793040202,0.0445755037693483
marginal,2,0.98,0.503890149904208,0.69,0.105940078804088,0.0397631872281744
binning,3,0.95,0.413475024212317,0.73,0.102251981856659,0.0208712956523342
binning2,3,0.95,0.413466082482272,0.73,0.103882662467031,0.0155753375189552
conditional,3,0.95,0.452902714474162,0.73,0.131109321450837,0.0863008891108659
isotonic,3,0.97,0.41417794412689,0.73,0.101596549802767,0
marginal,3,0.96,0.503890149904208,0.73,0.131109321450837,0.088874924308277
binning,4,0.9,0.417811377395465,0.72,0.123015504818886,0.0178777023132085
binning2,4,0.89,0.417377881195057,0.72,0.123127272330023,0.015520005782818
conditional,4,0.93,0.515120589117201,0.72,0.150615897624052,0.106631947857566
isotonic,4,0.89,0.413200125858708,0.72,0.12344061600069,0.0282644482510658
marginal,4,0.92,0.503890149904208,0.72,0.150615897624052,0.106171017361342
binning,5,0.9,0.426774899099802,0.73,0.142576436417156,0.0733111310026539
binning2,5,0.9,0.426646902924678,0.73,0.142497122518365,0.0733239131251097
conditional,5,0.91,0.639952966865726,0.73,0.218345406292357,0.184904376347263
isotonic,5,0.88,0.423697797166925,0.73,0.146020955483471,0.0804680846386849
marginal,5,0.8,0.503890149904208,0.73,0.218345406292357,0.184307402757552
binning,marginal,0.918,0.41135119164073,0.732,0.119332433657798,0.00315137544134197
binning2,marginal,0.908,0.411770148275412,0.732,0.12053766941614,0.00132951852896641
conditional,marginal,0.92,0.457077632206833,0.732,0.1472432226277,0.0888600259309119
isotonic,marginal,0.916,0.412512222717425,0.732,0.119992608231372,0.0134009806281287
marginal,marginal,0.93,0.503890149904208,0.732,0.1472432226277,0.0892584299568214
