method,bin,coverage,width,risk,rmse,cal_error
cal_binning_10,1,0.748,0.274937948615458,0.447,0.109618452481936,0.10240092544091
cal_binning_5,1,0.738,0.274767665982812,0.447,0.110833589497553,0.10324613485058
conditional,1,0.852,0.763252724775458,0.476,0.137232342215252,0.131899041113211
isotonic,1,0.751,0.273762995066281,0.447,0.108514838774559,0.101492465739074
marginal,1,0.597,0.284527074263438,0.447,0.137232342215252,0.132009287632181
mondrian_10,1,0.663,0.285751801483049,0.447,0.137232342215252,0.131816740288601
mondrian_5,1,0.63,0.293671266537102,0.447,0.137232342215252,0.131748396259292
oracle,1,0.89,0.107456661105697,0.505,0.137232342215252,0.131829799981935
cal_binning_10,2,0.974,0.275224075186716,0.889,0.0560054659340143,0.0539777856773866
cal_binning_5,2,0.977,0.2736407234759,0.889,0.0555018549177221,0.0530225353304969
conditional,2,0.88,0.747075269790364,0.878,0.0674319979215816,0.0663611974100099
isotonic,2,0.971,0.274020187365759,0.889,0.0555785957126368,0.0539651752135446
marginal,2,0.965,0.284527074263438,0.889,0.0674319979215816,0.0663369784307249
mondrian_10,2,0.968,0.28597889751539,0.889,0.0674319979215816,0.0663651321097192
mondrian_5,2,0.967,0.286825825048089,0.889,0.0674319979215816,0.0663672280851566
oracle,2,0.895,0.11658461614944,0.694,0.0674319979215816,0.0663267949431415
cal_binning_10,3,0.987,0.278103519623316,0.967,0.0424723563403615,0.0406794334802255
cal_binning_5,3,0.99,0.274675151001758,0.967,0.0425685224343622,0.04096173476921
conditional,3,0.935,0.763975285836061,0.961,0.0335421961675878,0.0307798338980568
isotonic,3,0.987,0.274800627765842,0.967,0.04103560581363,0.0389232385940508
marginal,3,0.997,0.284527074263438,0.967,0.0335421961675878,0.0308372041332667
mondrian_10,3,0.994,0.285235975949008,0.967,0.0335421961675878,0.0308004355864335
mondrian_5,3,0.999,0.283782871781495,0.967,0.0335421961675878,0.0306856804309972
oracle,3,0.897,0.1248751292768,0.967,0.0335421961675878,0.0307643956664968
cal_binning_10,4,0.942,0.282542086154089,0.854,0.0546012037785654,0.052191533903243
cal_binning_5,4,0.949,0.278726596280251,0.854,0.0549173460843349,0.052143653424551
conditional,4,0.918,0.74692534357606,0.851,0.0324193066245977,0.0274206478640078
isotonic,4,0.946,0.278565000912879,0.854,0.0531482602155804,0.0499970096087076
marginal,4,0.995,0.284527074263438,0.854,0.0324193066245977,0.0277392160430202
mondrian_10,4,0.987,0.28693579759671,0.854,0.0324193066245977,0.027564926924162
mondrian_5,4,0.994,0.28376033751665,0.854,0.0324193066245977,0.0275395930870315
oracle,4,0.883,0.135707412218729,0.854,0.0324193066245977,0.0270893941066398
cal_binning_10,5,0.792,0.289072908257162,0.448,0.100561104830822,0.0939068742241032
cal_binning_5,5,0.788,0.286323723265088,0.448,0.100591810707457,0.0940721422911661
conditional,5,0.868,0.730519875806713,0.45,0.0917256910381968,0.0845145401338372
isotonic,5,0.79,0.286954036958434,0.448,0.0994698789950484,0.0929039343746454
marginal,5,0.83,0.284527074263438,0.448,0.0917256910381968,0.0844747679098934
mondrian_10,5,0.837,0.289406348338471,0.448,0.0917256910381968,0.0845737294613142
mondrian_5,5,0.832,0.284269938312561,0.448,0.0917256910381968,0.0845145520891044
oracle,5,0.911,0.160235117114464,0.448,0.0917256910381968,0.0844107930302666
cal_binning_10,marginal,0.8886,0.279976107567348,0.721,0.0775248936161632,0.0106760529224516
cal_binning_5,marginal,0.8884,0.277626772001162,0.721,0.0778604480398311,0.00461415746087924
conditional,marginal,0.8906,0.750349699956931,0.7232,0.0824250967312499,0.0319318292705821
isotonic,marginal,0.889,0.277620569613839,0.721,0.0765079941854202,0.00571533075254239
marginal,marginal,0.8768,0.284527074263438,0.721,0.0824250967312499,0.0317271943985572
mondrian_10,marginal,0.8898,0.286661764176526,0.721,0.0824250967312499,0.0319147586283288
mondrian_5,marginal,0.8844,0.286462047839179,0.721,0.0824250967312499,0.0318505612514482
oracle,marginal,0.8952,0.128971787173026,0.6936,0.0824250967312499,0.0318749117505649
